Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2,MJO_Phase,MJO_Amplitude,Nino34_Anomaly,Dry_Spell_Days_Streak,Target_Crops,Rolling_Rainfall_7d_mm,Rolling_Rainfall_30d_mm,Drought_Stress_Index
2020-01-30,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,25.89,12.8,44.2,23.65,5,2.199,-0.698,30,Pulses_Arhar,0.0,0.0,0.744
2020-01-31,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.27,11.81,46.2,21.91,8,2.065,-0.73,31,Pulses_Arhar,0.0,0.0,0.904
2020-02-01,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.33,14.17,47.4,22.36,8,2.125,-0.602,32,Pulses_Arhar,0.0,0.0,0.896
2020-02-02,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.58,11.32,44.9,21.5,2,0.715,-0.705,33,Pulses_Arhar,0.0,0.0,0.999
2020-02-03,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.78,13.68,45.5,21.56,5,1.489,-0.708,34,Pulses_Arhar,0.0,0.0,0.999
2020-02-04,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.95,11.56,45.1,20.69,2,0.695,-0.714,35,Pulses_Arhar,0.0,0.0,1.0
2020-02-05,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,26.76,13.84,46.9,22.75,2,0.71,-0.72,36,Pulses_Arhar,0.0,0.0,1.0
2020-02-06,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.34,13.1,42.3,22.98,6,1.875,-0.63,37,Pulses_Arhar,0.0,0.0,1.0
2020-02-07,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,25.53,12.78,40.6,20.75,5,1.391,-0.671,38,Pulses_Arhar,0.0,0.0,1.0
2020-02-08,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.17,13.24,44.2,22.11,6,0.954,-0.734,39,Pulses_Arhar,0.0,0.0,1.0
2020-02-09,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.11,11.9,44.7,22.22,6,0.573,-0.7,40,Pulses_Arhar,0.0,0.0,1.0
2020-02-10,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.87,12.65,49.8,20.9,5,1.086,-0.585,41,Pulses_Arhar,0.0,0.0,1.0
2020-02-11,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.02,12.7,47.0,22.42,8,1.561,-0.576,42,Pulses_Arhar,0.0,0.0,1.0
2020-02-12,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.19,15.97,45.8,21.63,4,1.648,-0.569,43,Pulses_Arhar,0.0,0.0,1.0
2020-02-13,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.07,13.64,41.8,21.66,3,1.298,-0.524,44,Pulses_Arhar,0.0,0.0,1.0
2020-02-14,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.08,15.42,45.6,20.43,3,1.183,-0.652,45,Pulses_Arhar,0.0,0.0,1.0
2020-02-15,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,32.74,15.45,39.0,22.16,7,1.062,-0.631,46,Pulses_Arhar,0.0,0.0,1.0
2020-02-16,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.14,14.05,45.7,21.25,4,0.762,-0.589,47,Pulses_Arhar,0.0,0.0,1.0
2020-02-17,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.69,14.69,44.3,21.59,6,1.158,-0.568,48,Pulses_Arhar,0.0,0.0,1.0
2020-02-18,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.59,13.57,50.8,21.41,2,1.81,-0.615,49,Pulses_Arhar,0.0,0.0,1.0
2020-02-19,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.59,11.76,42.4,20.52,8,2.183,-0.639,50,Pulses_Arhar,0.0,0.0,1.0
2020-02-20,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.13,12.69,47.4,21.82,4,0.871,-0.652,51,Pulses_Arhar,0.0,0.0,1.0
2020-02-21,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.1,15.29,47.6,21.07,8,2.186,-0.594,52,Pulses_Arhar,0.0,0.0,1.0
2020-02-22,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.97,14.23,43.6,21.42,1,1.341,-0.546,53,Pulses_Arhar,0.0,0.0,1.0
2020-02-23,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.79,12.43,43.7,22.27,2,0.684,-0.548,54,Pulses_Arhar,0.0,0.0,1.0
2020-02-24,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.29,15.39,42.1,19.46,4,0.654,-0.474,55,Pulses_Arhar,0.0,0.0,1.0
2020-02-25,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.89,14.95,45.9,23.22,5,0.495,-0.485,56,Pulses_Arhar,0.0,0.0,1.0
2020-02-26,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.5,15.43,44.5,21.66,4,1.814,-0.61,57,Pulses_Arhar,0.0,0.0,1.0
2020-02-27,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.94,15.13,38.9,22.57,7,1.602,-0.514,58,Pulses_Arhar,0.0,0.0,1.0
2020-02-28,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.75,13.89,45.2,22.08,3,0.391,-0.52,59,Pulses_Arhar,0.0,0.0,1.0
2020-02-29,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.59,13.83,43.1,22.11,8,2.17,-0.548,60,Pulses_Arhar,0.0,0.0,1.0
2020-03-01,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.44,15.59,47.4,20.13,2,0.803,-0.604,61,Pulses_Arhar,0.0,0.0,1.0
2020-03-02,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.92,13.29,43.7,22.5,2,1.225,-0.615,62,Pulses_Arhar,0.0,0.0,1.0
2020-03-03,Red_Laterite_Zone,Purulia,23.33,86.36,10.61,29.19,16.53,47.3,16.31,4,0.778,-0.64,0,Pulses_Arhar,10.61,10.61,0.0
2020-03-04,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.15,14.31,48.2,21.32,3,2.153,-0.587,1,Pulses_Arhar,10.61,10.61,0.0
2020-03-05,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.21,15.69,38.0,21.2,2,0.992,-0.502,2,Pulses_Arhar,10.61,10.61,0.0
2020-03-06,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.34,15.48,41.6,22.7,7,1.6,-0.472,3,Pulses_Arhar,10.61,10.61,0.0
2020-03-07,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.28,15.02,43.3,21.57,8,2.095,-0.581,4,Pulses_Arhar,10.61,10.61,0.0
2020-03-08,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.5,16.07,43.3,20.17,5,0.747,-0.444,5,Pulses_Arhar,10.61,10.61,0.0
2020-03-09,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.67,17.09,42.4,22.35,1,0.803,-0.49,6,Pulses_Arhar,10.61,10.61,0.0
2020-03-10,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.51,15.48,42.3,23.25,1,0.599,-0.452,7,Pulses_Arhar,0.0,10.61,0.056
2020-03-11,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,32.75,16.79,44.6,21.23,5,0.506,-0.534,8,Pulses_Arhar,0.0,10.61,0.208
2020-03-12,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,32.5,15.85,46.7,20.76,1,0.311,-0.563,9,Pulses_Arhar,0.0,10.61,0.235
2020-03-13,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.42,17.68,43.0,21.99,7,2.125,-0.544,10,Pulses_Arhar,0.0,10.61,0.121
2020-03-14,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.36,18.24,45.6,21.66,8,1.606,-0.442,11,Pulses_Arhar,0.0,10.61,0.158
2020-03-15,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.88,17.43,48.9,22.01,7,1.942,-0.476,12,Pulses_Arhar,0.0,10.61,0.324
2020-03-16,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,32.18,17.18,42.0,22.83,2,0.863,-0.468,13,Pulses_Arhar,0.0,10.61,0.379
2020-03-17,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.46,15.34,50.1,21.61,5,0.417,-0.581,14,Pulses_Arhar,0.0,10.61,0.483
2020-03-18,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.59,16.91,45.1,20.66,4,1.337,-0.532,15,Pulses_Arhar,0.0,10.61,0.329
2020-03-19,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.17,16.3,45.8,22.44,4,1.573,-0.512,16,Pulses_Arhar,0.0,10.61,0.399
2020-03-20,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,32.44,17.11,42.9,21.96,3,0.453,-0.563,17,Pulses_Arhar,0.0,10.61,0.552
2020-03-21,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.42,16.76,38.6,21.66,8,0.881,-0.489,18,Pulses_Arhar,0.0,10.61,0.641
2020-03-22,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.23,16.81,44.2,20.65,2,0.421,-0.526,19,Pulses_Arhar,0.0,10.61,0.671
2020-03-23,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.2,17.15,41.2,21.85,1,0.368,-0.605,20,Pulses_Arhar,0.0,10.61,0.56
2020-03-24,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.21,18.36,48.2,21.54,6,0.363,-0.499,21,Pulses_Arhar,0.0,10.61,0.8
2020-03-25,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.79,16.83,48.9,21.82,5,0.823,-0.542,22,Pulses_Arhar,0.0,10.61,0.719
2020-03-26,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.57,17.87,47.5,20.92,5,0.425,-0.487,23,Pulses_Arhar,0.0,10.61,0.748
2020-03-27,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.12,18.74,41.3,23.82,4,0.625,-0.608,24,Pulses_Arhar,0.0,10.61,0.866
2020-03-28,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.18,19.17,46.4,21.07,7,1.519,-0.505,25,Pulses_Arhar,0.0,10.61,0.759
2020-03-29,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.45,19.76,49.5,20.93,2,0.619,-0.437,26,Pulses_Arhar,0.0,10.61,0.963
2020-03-30,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,31.28,19.22,52.0,21.48,4,1.392,-0.532,27,Pulses_Arhar,0.0,10.61,0.894
2020-03-31,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,32.12,19.9,48.3,20.5,2,0.401,-0.485,28,Pulses_Arhar,0.0,10.61,0.976
2020-04-01,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.35,18.36,43.7,21.03,5,0.441,-0.44,29,Millets_Ragi,0.0,10.61,1.0
2020-04-02,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.47,18.59,50.7,21.04,5,1.225,-0.491,30,Millets_Ragi,0.0,0.0,1.0
2020-04-03,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,36.69,19.64,46.9,21.79,7,0.438,-0.486,31,Millets_Ragi,0.0,0.0,1.0
2020-04-04,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.18,19.45,54.4,19.96,1,1.19,-0.627,32,Millets_Ragi,0.0,0.0,1.0
2020-04-05,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.82,19.13,46.1,19.94,2,2.14,-0.511,33,Millets_Ragi,0.0,0.0,1.0
2020-04-06,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.92,20.84,49.5,21.29,5,0.725,-0.552,34,Millets_Ragi,0.0,0.0,1.0
2020-04-07,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.64,19.65,46.9,21.49,6,0.46,-0.561,35,Millets_Ragi,0.0,0.0,1.0
2020-04-08,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,33.86,18.59,50.2,21.31,8,1.758,-0.513,36,Millets_Ragi,0.0,0.0,1.0
2020-04-09,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.87,20.62,48.8,22.95,5,2.066,-0.529,37,Millets_Ragi,0.0,0.0,1.0
2020-04-10,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.17,20.9,50.0,19.51,2,0.617,-0.519,38,Millets_Ragi,0.0,0.0,1.0
2020-04-11,Red_Laterite_Zone,Purulia,23.33,86.36,6.96,34.04,20.38,51.5,19.57,6,1.812,-0.466,0,Millets_Ragi,6.96,6.96,0.0
2020-04-12,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.85,20.74,48.3,21.24,1,1.961,-0.498,1,Millets_Ragi,6.96,6.96,0.0
2020-04-13,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.11,20.66,45.7,19.63,8,0.679,-0.592,2,Millets_Ragi,6.96,6.96,0.0
2020-04-14,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.79,20.8,47.9,22.27,7,1.485,-0.51,3,Millets_Ragi,6.96,6.96,0.02
2020-04-15,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.26,18.87,44.2,21.29,2,0.533,-0.51,4,Millets_Ragi,6.96,6.96,0.034
2020-04-16,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.61,21.82,48.8,21.82,3,0.328,-0.409,5,Millets_Ragi,6.96,6.96,0.041
2020-04-17,Red_Laterite_Zone,Purulia,23.33,86.36,2.42,37.98,19.1,53.5,20.09,8,1.536,-0.527,6,Millets_Ragi,9.38,9.38,0.201
2020-04-18,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.16,22.63,47.1,20.57,4,1.293,-0.525,7,Millets_Ragi,2.42,9.38,0.24
2020-04-19,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,37.23,20.76,48.9,20.63,8,0.741,-0.449,8,Millets_Ragi,2.42,9.38,0.383
2020-04-20,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.64,21.64,44.4,21.76,6,1.996,-0.548,9,Millets_Ragi,2.42,9.38,0.294
2020-04-21,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,36.66,21.89,48.5,19.98,4,0.823,-0.527,10,Millets_Ragi,2.42,9.38,0.435
2020-04-22,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.32,21.45,47.2,20.0,3,1.47,-0.462,11,Millets_Ragi,2.42,9.38,0.408
2020-04-23,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.8,22.9,48.8,20.6,2,1.25,-0.484,12,Millets_Ragi,2.42,9.38,0.472
2020-04-24,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.18,23.62,53.9,20.05,5,0.935,-0.523,13,Millets_Ragi,0.0,9.38,0.479
2020-04-25,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,37.96,21.58,50.8,21.06,1,1.508,-0.628,14,Millets_Ragi,0.0,9.38,0.708
2020-04-26,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.4,23.01,52.5,19.07,4,0.393,-0.556,15,Millets_Ragi,0.0,9.38,0.62
2020-04-27,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,37.05,21.94,56.4,17.8,4,1.478,-0.469,16,Millets_Ragi,0.0,9.38,0.742
2020-04-28,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,34.87,21.61,53.2,19.27,6,1.313,-0.554,17,Millets_Ragi,0.0,9.38,0.673
2020-04-29,Red_Laterite_Zone,Purulia,23.33,86.36,15.83,35.41,24.38,58.5,14.45,3,1.784,-0.522,0,Maize,15.83,25.21,0.0
2020-04-30,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.35,23.72,51.7,19.59,8,1.177,-0.546,1,Maize,15.83,25.21,0.0
2020-05-01,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,35.18,22.01,53.3,19.38,4,1.945,-0.527,2,Maize,15.83,25.21,0.0
2020-05-02,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.06,21.24,50.1,19.56,8,1.87,-0.562,3,Maize,15.83,25.21,0.0
2020-05-03,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.2,23.88,49.7,20.04,8,1.244,-0.556,4,Maize,15.83,25.21,0.053
2020-05-04,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.54,23.2,51.5,20.21,2,1.815,-0.53,5,Maize,15.83,25.21,0.11
2020-05-05,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,37.67,22.32,56.2,20.85,8,1.79,-0.587,6,Maize,15.83,25.21,0.057
2020-05-06,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.55,21.3,53.3,19.94,6,1.397,-0.597,7,Millets_Ragi,0.0,25.21,0.557
2020-05-07,Red_Laterite_Zone,Purulia,23.33,86.36,11.71,36.92,22.54,54.6,15.42,7,0.68,-0.618,0,Millets_Ragi,11.71,36.92,0.0
2020-05-08,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,37.08,25.23,56.8,18.35,1,0.82,-0.626,1,Millets_Ragi,11.71,36.92,0.0
2020-05-09,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.53,25.2,55.3,19.61,5,1.053,-0.56,2,Millets_Ragi,11.71,36.92,0.122
2020-05-10,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.21,23.75,64.7,21.43,2,0.813,-0.573,3,Millets_Ragi,11.71,36.92,0.046
2020-05-11,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.1,23.48,57.9,20.11,4,1.155,-0.586,4,Millets_Ragi,11.71,29.96,0.081
2020-05-12,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.62,25.9,55.3,20.45,7,0.66,-0.534,5,Millets_Ragi,11.71,29.96,0.247
2020-05-13,Red_Laterite_Zone,Purulia,23.33,86.36,0.34,40.12,26.13,61.0,20.17,5,1.968,-0.644,6,Millets_Ragi,12.05,30.3,0.255
2020-05-14,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.05,26.15,62.3,19.18,8,1.459,-0.498,7,Millets_Ragi,0.34,30.3,0.426
2020-05-15,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,37.86,25.78,59.3,20.65,8,1.2,-0.644,8,Millets_Ragi,0.34,30.3,0.456
2020-05-16,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.68,24.8,55.5,19.73,7,0.414,-0.542,9,Millets_Ragi,0.34,30.3,0.537
2020-05-17,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.2,25.43,60.2,18.69,3,1.629,-0.706,10,Millets_Ragi,0.34,27.88,0.603
2020-05-18,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.8,24.57,59.4,19.59,1,1.832,-0.668,11,Millets_Ragi,0.34,27.88,0.673
2020-05-19,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.41,26.4,58.2,15.88,5,2.112,-0.554,12,Millets_Ragi,0.34,27.88,0.694
2020-05-20,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.16,27.36,64.0,17.63,2,1.234,-0.67,13,Millets_Ragi,0.0,27.88,0.778
2020-05-21,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.12,25.92,55.9,17.87,6,2.018,-0.583,14,Millets_Ragi,0.0,27.88,0.766
2020-05-22,Red_Laterite_Zone,Purulia,23.33,86.36,5.78,38.44,26.38,59.1,17.5,8,2.097,-0.659,0,Millets_Ragi,5.78,33.66,0.056
2020-05-23,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,41.83,26.23,64.3,18.86,3,0.521,-0.55,1,Millets_Ragi,5.78,33.66,0.266
2020-05-24,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,42.86,25.49,67.2,17.54,2,1.375,-0.68,2,Millets_Ragi,5.78,33.66,0.357
2020-05-25,Red_Laterite_Zone,Purulia,23.33,86.36,6.71,41.73,25.59,63.7,17.85,6,1.731,-0.674,0,Millets_Ragi,12.49,40.37,0.087
2020-05-26,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.9,27.22,63.0,19.43,2,0.826,-0.613,1,Millets_Ragi,12.49,40.37,0.085
2020-05-27,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.93,26.6,63.5,18.4,7,0.763,-0.598,2,Millets_Ragi,12.49,40.37,0.077
2020-05-28,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,41.83,26.27,65.3,18.56,6,0.895,-0.637,3,Millets_Ragi,12.49,40.37,0.212
2020-05-29,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,38.3,26.7,71.8,18.43,7,1.889,-0.624,4,Millets_Ragi,6.71,24.54,0.191
2020-05-30,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.85,25.72,74.4,17.53,5,2.105,-0.723,5,Millets_Ragi,6.71,24.54,0.308
2020-05-31,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,39.9,26.31,57.6,18.86,4,1.833,-0.655,6,Millets_Ragi,6.71,24.54,0.351
2020-06-01,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.06,26.5,58.8,15.63,7,1.306,-0.736,7,Millets_Ragi,0.0,24.54,0.533
2020-06-02,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.62,28.33,64.5,13.75,1,1.994,-0.665,8,Millets_Ragi,0.0,24.54,0.601
2020-06-03,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,40.39,26.51,65.2,15.24,4,0.512,-0.636,9,Millets_Ragi,0.0,24.54,0.63
2020-06-04,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,41.73,27.66,65.8,18.62,8,1.699,-0.656,10,Millets_Ragi,0.0,24.54,0.736
2020-06-05,Red_Laterite_Zone,Purulia,23.33,86.36,5.06,42.02,26.48,68.9,13.97,4,1.402,-0.728,0,Millets_Ragi,5.06,29.6,0.25
2020-06-06,Red_Laterite_Zone,Purulia,23.33,86.36,9.82,38.81,26.66,73.3,14.41,3,1.883,-0.66,0,Millets_Ragi,14.88,27.71,0.0
