Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2
2026-01-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.16,13.06,63.7,13.74
2026-01-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.83,11.96,65.9,11.99
2026-01-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.14,11.72,65.7,12.1
2026-01-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.45,11.24,63.5,12.9
2026-01-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.36,13.28,64.6,14.86
2026-01-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,25.07,14.21,61.9,15.34
2026-01-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.39,12.57,64.9,13.23
2026-01-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.59,11.95,67.6,12.9
2026-01-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.17,12.64,65.0,14.94
2026-01-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.06,24.51,13.86,63.5,14.21
2026-01-29,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.03,25.21,12.8,65.6,13.91
2026-01-30,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.09,12.41,64.4,11.22
2026-01-31,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.65,12.84,63.1,12.81
2026-02-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.71,14.53,64.8,12.39
2026-02-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,25.63,13.96,62.0,14.49
2026-02-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,25.46,14.33,65.5,15.95
2026-02-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,26.74,14.69,55.2,16.07
2026-02-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,25.84,11.22,55.3,16.6
2026-02-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.75,11.47,54.0,14.29
2026-02-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.89,12.63,55.4,14.27
2026-02-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,25.35,12.71,57.4,13.25
2026-02-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,25.39,12.64,56.6,15.59
2026-02-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,26.8,14.14,55.8,16.96
2026-02-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,26.64,13.66,56.5,16.72
2026-02-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,26.37,13.52,54.7,15.12
2026-02-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,27.44,13.03,53.4,15.08
2026-02-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,27.44,14.29,50.0,16.05
2026-02-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,27.07,13.8,52.8,15.71
2026-02-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,26.88,13.65,55.9,15.49
2026-02-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,29.12,15.45,51.2,19.07
2026-02-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,29.75,16.23,49.5,19.72
2026-02-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,30.53,16.43,49.6,19.08
2026-02-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,31.19,17.67,46.2,18.39
2026-02-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,30.9,16.88,43.4,15.42
2026-02-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,29.87,15.65,42.3,16.57
2026-02-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,28.75,15.01,44.9,14.85
2026-02-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.4,28.45,14.93,51.1,13.32
2026-02-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.41,28.73,17.45,51.6,14.74
2026-02-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.04,28.55,15.27,50.5,14.42
2026-02-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.28,28.02,15.17,47.2,12.92
2026-02-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.97,28.24,15.25,48.5,11.02
2026-03-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.22,28.77,14.58,52.4,18.45
2026-03-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.68,29.98,15.41,49.7,18.4
2026-03-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.02,29.14,14.96,50.1,14.96
2026-03-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,30.59,16.22,46.9,17.34
2026-03-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,31.45,17.8,49.5,16.39
2026-03-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,33.05,18.87,46.4,15.57
2026-03-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,32.25,19.49,47.0,14.66
2026-03-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,31.9,19.67,51.9,13.84
2026-03-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.33,30.76,20.31,57.1,11.94
2026-03-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.2,31.98,20.43,52.3,13.96
2026-03-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.97,32.57,20.06,55.4,12.76
2026-03-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,25.96,28.19,21.58,77.2,9.08
2026-03-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,33.15,26.7,19.41,80.3,5.67
2026-03-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.35,29.77,18.78,70.2,9.64
2026-03-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,14.8,28.37,18.64,65.8,7.95
2026-03-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.36,29.24,17.64,63.0,16.45
2026-03-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.71,29.91,17.09,56.5,18.45
2026-03-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.29,31.25,15.91,52.8,17.27
2026-03-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,11.65,29.68,16.76,63.4,16.32
2026-03-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,12.13,26.87,18.36,78.8,15.22
2026-03-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,21.82,24.62,19.04,82.7,3.7
2026-03-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.06,24.71,17.6,75.7,13.59
2026-03-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.09,25.46,15.87,75.0,13.97
2026-03-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.5,26.68,17.68,71.5,10.3
2026-03-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.73,28.77,16.87,62.1,15.52
2026-03-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.7,28.67,16.48,61.8,14.99
2026-03-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.57,29.92,17.84,63.2,12.03
2026-03-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,28.73,24.58,18.12,78.2,8.72
2026-03-29,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,5.28,26.21,16.94,77.4,9.5
2026-03-30,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.26,27.83,17.43,77.5,7.17
2026-03-31,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,10.36,28.95,18.8,76.5,10.28
2026-04-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,34.13,28.6,20.11,78.0,14.96
2026-04-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.01,32.26,18.82,62.5,20.21
2026-04-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.04,31.35,18.27,65.6,15.0
2026-04-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.64,31.5,20.06,67.4,12.75
2026-04-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.33,31.55,19.15,64.1,13.8
2026-04-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.11,31.33,18.29,65.2,19.38
2026-04-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.68,30.51,18.37,65.0,18.98
2026-04-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.83,28.55,17.7,67.2,17.25
2026-04-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,15.09,27.31,19.15,71.4,15.2
2026-04-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.55,27.49,17.39,64.1,15.26
2026-04-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.01,29.22,15.83,58.6,19.75
2026-04-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.35,29.44,16.9,64.7,17.09
2026-04-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.1,31.13,18.02,64.2,19.32
2026-04-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.07,30.9,17.89,64.5,16.63
2026-04-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.89,31.27,18.75,68.3,12.05
2026-04-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.99,31.0,19.52,72.3,13.67
2026-04-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.28,31.29,20.25,72.7,16.43
2026-04-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,23.2,29.7,21.17,80.7,9.81
2026-04-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.96,31.26,21.5,79.5,10.69
2026-04-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,13.2,31.57,21.48,78.6,12.64
2026-04-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,8.04,34.55,20.87,60.4,13.26
2026-04-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,6.04,33.31,20.18,65.0,17.54
2026-04-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.52,31.62,21.18,75.4,15.36
2026-04-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.65,31.89,22.14,78.8,14.11
2026-04-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,21.97,31.29,23.0,83.5,14.06
2026-04-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,34.53,28.47,21.83,86.9,3.39
2026-04-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.7,28.87,20.06,83.8,6.75
2026-04-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,24.09,30.83,21.62,83.9,12.73
2026-04-29,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,50.77,28.36,21.96,88.2,6.16
2026-04-30,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,25.52,25.13,20.71,91.2,14.52
2026-05-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,14.71,24.91,18.85,87.9,15.52
2026-05-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,13.65,26.83,20.24,87.0,7.31
2026-05-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.22,27.81,19.5,82.1,18.44
2026-05-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.61,29.01,19.89,82.8,18.37
2026-05-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,10.34,29.04,21.18,85.5,20.75
2026-05-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,11.64,28.7,21.17,81.8,8.72
2026-05-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.22,28.94,21.66,73.6,21.66
2026-05-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.51,29.34,19.85,76.6,13.86
2026-05-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.39,29.92,21.49,72.1,19.23
2026-05-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.08,30.42,21.63,76.1,10.02
2026-05-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,6.93,29.01,21.3,81.8,21.03
2026-05-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.17,28.33,21.88,86.2,12.52
2026-05-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,32.92,28.82,22.41,87.3,6.87
2026-05-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,25.25,29.93,22.73,85.8,16.78
2026-05-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,8.85,30.31,23.07,81.8,18.17
2026-05-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,32.83,30.56,24.29,86.4,14.13
2026-05-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,19.41,31.08,23.18,82.0,13.52
2026-05-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,16.29,30.8,22.57,86.0,10.66
2026-05-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.19,31.95,23.57,85.8,17.4
2026-05-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.37,32.28,24.44,85.9,17.23
2026-05-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,30.99,30.74,25.58,90.1,9.23
2026-05-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,12.22,31.48,25.36,86.7,13.97
2026-05-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.23,32.12,24.78,85.0,7.96
2026-05-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,14.16,32.32,24.2,81.2,12.37
2026-05-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,18.65,31.19,23.26,84.3,16.34
2026-05-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,23.73,31.17,24.07,85.4,17.6
2026-05-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.18,30.77,23.28,85.8,10.84
2026-05-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,5.03,27.68,23.62,90.7,18.43
2026-05-29,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.96,31.12,23.51,79.3,23.48
2026-05-30,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.09,31.99,24.37,77.6,19.65
2026-05-31,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.04,31.94,25.23,79.2,23.03
2026-06-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.83,32.43,24.72,82.3,21.82
2026-06-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.18,32.28,25.34,83.8,20.38
2026-06-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.21,32.49,24.7,79.2,18.32
2026-06-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.97,32.52,24.06,81.3,18.74
2026-06-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,30.45,31.96,25.42,86.0,18.72
2026-06-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,8.79,31.57,25.69,87.9,17.25
2026-06-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.5,32.45,25.32,85.1,21.12
2026-06-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,17.07,31.8,25.88,86.3,16.85
2026-06-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,13.81,31.84,25.14,85.9,19.84
2026-06-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,28.93,31.57,25.16,88.0,9.72
2026-06-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,12.88,30.58,24.95,87.8,14.95
2026-06-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.2,30.62,24.39,84.2,18.66
2026-06-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,8.73,30.93,24.51,84.8,18.25
2026-06-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.62,31.26,25.22,87.0,18.32
2026-06-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.63,32.02,25.55,86.0,19.99
2026-06-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.25,29.88,25.36,90.9,21.75
2026-06-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,16.69,31.65,25.35,87.8,17.71
2026-06-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,15.65,31.18,25.73,89.8,12.45
2026-06-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,13.5,29.9,25.34,90.4,13.15
2026-06-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,50.16,31.06,24.74,89.2,14.27
2026-06-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,45.58,30.9,25.8,89.8,11.49
2026-06-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,24.36,30.46,25.4,91.5,5.97
2026-06-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,50.48,30.73,25.57,90.7,3.16
2026-06-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,12.47,31.29,25.79,88.3,21.07
2026-06-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,40.69,31.6,25.92,89.0,19.76
2026-06-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.59,31.54,25.61,89.3,18.26
2026-06-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,22.06,32.0,25.52,89.1,16.8
2026-06-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,43.33,31.35,26.33,90.9,11.11
2026-06-29,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,59.14,30.37,26.2,92.4,6.12
2026-06-30,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,23.89,30.28,26.06,89.8,17.14
2026-07-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,5.93,32.21,25.44,85.2,14.63
2026-07-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.91,31.64,26.17,86.5,16.01
2026-07-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.24,32.66,26.92,84.9,20.09
2026-07-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.14,34.16,26.39,81.3,22.14
2026-07-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.5,31.43,26.75,88.9,17.74
2026-07-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,7.0,32.46,25.75,86.5,19.69
2026-07-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,37.47,30.69,26.07,91.7,16.84
2026-07-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,31.44,30.92,25.62,90.8,9.56
2026-07-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,55.14,30.68,26.36,92.4,9.43
2026-07-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,12.08,31.49,25.98,89.6,12.02
2026-07-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.88,32.39,25.86,88.3,14.7
2026-07-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,24.6,30.61,26.28,91.4,13.6
2026-07-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,45.54,29.73,26.21,92.9,11.05
2026-07-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,5.38,32.31,25.59,87.8,21.96
2026-07-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.87,30.16,25.87,86.5,6.18
2026-07-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.8,31.16,25.45,87.0,15.53
2026-07-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,12.15,31.45,25.64,87.5,13.67
2026-07-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,22.83,31.54,26.25,89.8,7.3
2026-07-19,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,52.2,29.55,25.9,92.9,9.46
2026-07-20,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,14.7,29.81,25.28,91.6,4.9
2026-07-21,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,15.18,30.56,24.71,88.6,16.53
2026-07-22,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.21,30.26,24.96,90.1,14.6
2026-07-23,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,8.04,30.7,24.81,89.0,15.95
2026-07-24,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.24,30.93,24.7,88.2,17.4
2026-07-25,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.24,32.38,25.45,87.1,19.81
2026-07-26,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,1.43,31.5,26.11,86.2,17.41
2026-07-27,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.98,32.06,26.41,83.5,19.73
2026-07-28,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,4.6,32.24,25.85,86.3,15.66
2026-07-29,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.18,29.29,25.47,89.5,15.1
2026-07-30,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.72,31.65,24.7,87.8,16.36
2026-07-31,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,22.25,31.37,25.16,88.6,13.23
2026-08-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,19.79,29.42,25.37,91.6,7.79
2026-08-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,32.34,27.22,25.31,94.3,15.0
2026-08-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,10.26,29.94,24.8,92.3,8.76
2026-08-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,24.19,28.61,25.46,93.6,20.16
2026-08-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,32.18,26.97,24.84,95.2,4.3
2026-08-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.6,31.51,24.45,84.1,24.18
2026-08-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,8.64,30.77,24.82,89.8,17.37
2026-08-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,11.42,30.86,25.0,88.9,15.85
2026-08-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,9.99,30.41,24.87,87.7,15.11
2026-08-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.42,31.66,24.61,84.5,23.05
2026-08-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,2.26,32.4,26.11,81.7,22.06
2026-08-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.4,33.09,26.42,83.7,8.07
2026-08-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,6.27,32.04,26.26,86.5,17.32
2026-08-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,5.82,31.43,25.33,87.2,20.47
2026-08-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,3.46,29.9,25.37,87.6,17.25
