Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2,MJO_Phase,MJO_Amplitude,Nino34_Anomaly,Dry_Spell_Days_Streak,Target_Crops,Rolling_Rainfall_7d_mm,Rolling_Rainfall_30d_mm,Waterlogging_Risk_Index
2020-01-15,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.06,10.44,46.4,21.26,4,1.758,-0.796,15,Pineapple,0.0,0.0,0.032
2020-01-16,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.6,11.35,44.1,21.38,4,1.642,-0.747,16,Pineapple,0.0,0.0,0.02
2020-01-17,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.7,9.34,43.0,22.38,4,0.334,-0.752,17,Pineapple,0.0,0.0,0.015
2020-01-18,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.59,8.53,38.3,21.61,4,0.885,-0.772,18,Pineapple,0.0,0.0,0.0
2020-01-19,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.74,10.7,43.6,21.31,5,2.09,-0.79,19,Pineapple,0.0,0.0,0.018
2020-01-20,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.46,10.37,41.5,22.56,4,1.155,-0.766,20,Pineapple,0.0,0.0,0.007
2020-01-21,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.11,9.99,50.3,23.14,7,0.399,-0.703,21,Pineapple,0.0,0.0,0.051
2020-01-22,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.6,8.89,48.0,22.71,2,0.421,-0.736,22,Pineapple,0.0,0.0,0.04
2020-01-23,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,19.99,10.59,37.7,23.39,8,0.505,-0.81,23,Pineapple,0.0,0.0,0.0
2020-01-24,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.25,10.43,44.5,23.61,1,1.141,-0.804,24,Pineapple,0.0,0.0,0.022
2020-01-25,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.05,10.42,48.2,21.98,2,1.585,-0.711,25,Pineapple,0.0,0.0,0.041
2020-01-26,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.69,9.76,41.3,22.34,4,1.204,-0.707,26,Pineapple,0.0,0.0,0.006
2020-01-27,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.67,10.1,47.7,22.1,4,1.044,-0.695,27,Pineapple,0.0,0.0,0.039
2020-01-28,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.0,10.52,36.7,21.4,5,1.366,-0.68,28,Pineapple,0.0,0.0,0.0
2020-01-29,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.4,10.56,37.3,22.75,6,1.211,-0.684,29,Pineapple,0.0,0.0,0.0
2020-01-30,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,12.22,21.97,9.45,46.8,17.48,5,2.199,-0.698,0,Pineapple,12.22,12.22,0.083
2020-01-31,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.32,10.2,49.8,21.44,8,2.065,-0.73,1,Pineapple,12.22,12.22,0.098
2020-02-01,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.27,11.79,43.4,21.47,8,2.125,-0.602,2,Pineapple,12.22,12.22,0.066
2020-02-02,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.88,11.0,47.0,20.63,2,0.715,-0.705,3,Pineapple,12.22,12.22,0.084
2020-02-03,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.19,10.94,48.0,21.8,5,1.489,-0.708,4,Pineapple,12.22,12.22,0.089
2020-02-04,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.2,11.15,39.0,22.14,2,0.695,-0.714,5,Pineapple,12.22,12.22,0.044
2020-02-05,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.61,12.96,47.8,22.44,2,0.71,-0.72,6,Pineapple,12.22,12.22,0.088
2020-02-06,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.56,11.44,47.1,21.98,6,1.875,-0.63,7,Pineapple,0.0,12.22,0.036
2020-02-07,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.46,13.03,44.3,22.2,5,1.391,-0.671,8,Pineapple,0.0,12.22,0.021
2020-02-08,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.08,9.19,49.6,22.48,6,0.954,-0.734,9,Pineapple,0.0,12.22,0.048
2020-02-09,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.19,10.71,38.6,23.55,6,0.573,-0.7,10,Pineapple,0.0,12.22,0.0
2020-02-10,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.25,9.43,47.6,20.16,5,1.086,-0.585,11,Pineapple,0.0,12.22,0.038
2020-02-11,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.96,10.96,44.3,21.45,8,1.561,-0.576,12,Pineapple,0.0,12.22,0.021
2020-02-12,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.64,10.03,40.7,23.7,4,1.648,-0.569,13,Pineapple,0.0,12.22,0.004
2020-02-13,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.15,13.21,47.7,22.88,3,1.298,-0.524,14,Pineapple,0.0,12.22,0.039
2020-02-14,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.34,10.99,44.1,20.8,3,1.183,-0.652,15,Pineapple,0.0,12.22,0.02
2020-02-15,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.81,11.83,43.4,22.6,7,1.062,-0.631,16,Pineapple,0.0,12.22,0.017
2020-02-16,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.91,11.38,46.1,22.17,4,0.762,-0.589,17,Pineapple,0.0,12.22,0.03
2020-02-17,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.78,12.43,48.4,22.22,6,1.158,-0.568,18,Pineapple,0.0,12.22,0.042
2020-02-18,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.09,13.65,47.4,22.22,2,1.81,-0.615,19,Pineapple,0.0,12.22,0.037
2020-02-19,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.61,8.86,47.4,21.79,8,2.183,-0.639,20,Pineapple,0.0,12.22,0.037
2020-02-20,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.58,12.85,47.7,22.9,4,0.871,-0.652,21,Pineapple,0.0,12.22,0.039
2020-02-21,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.56,11.32,46.9,21.03,8,2.186,-0.594,22,Pineapple,0.0,12.22,0.034
2020-02-22,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.96,13.45,46.5,22.04,1,1.341,-0.546,23,Pineapple,0.0,12.22,0.032
2020-02-23,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,23.85,11.55,45.6,22.99,2,0.684,-0.548,24,Pineapple,0.0,12.22,0.028
2020-02-24,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.49,13.77,49.1,20.74,4,0.654,-0.474,25,Pineapple,0.0,12.22,0.045
2020-02-25,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.85,12.22,47.8,21.95,5,0.495,-0.485,26,Pineapple,0.0,12.22,0.039
2020-02-26,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.41,12.36,47.1,20.65,4,1.814,-0.61,27,Pineapple,0.0,12.22,0.036
2020-02-27,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.25,12.5,40.7,21.29,7,1.602,-0.514,28,Pineapple,0.0,12.22,0.004
2020-02-28,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.59,12.33,44.1,22.45,3,0.391,-0.52,29,Pineapple,0.0,12.22,0.02
2020-02-29,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.08,12.19,52.3,22.47,8,2.17,-0.548,30,Pineapple,0.0,0.0,0.062
2020-03-01,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.47,15.46,47.5,21.35,2,0.803,-0.604,31,Pineapple,0.0,0.0,0.037
2020-03-02,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.62,12.48,45.7,21.87,2,1.225,-0.615,32,Pineapple,0.0,0.0,0.028
2020-03-03,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.84,13.23,38.8,20.89,4,0.778,-0.64,33,Pineapple,0.0,0.0,0.0
2020-03-04,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.12,17.13,41.9,20.99,3,2.153,-0.587,34,Pineapple,0.0,0.0,0.009
2020-03-05,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.9,11.37,45.4,22.61,2,0.992,-0.502,35,Pineapple,0.0,0.0,0.027
2020-03-06,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.99,12.44,41.0,21.41,7,1.6,-0.472,36,Pineapple,0.0,0.0,0.005
2020-03-07,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.04,13.52,45.8,21.97,8,2.095,-0.581,37,Pineapple,0.0,0.0,0.029
2020-03-08,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.04,14.31,45.9,22.94,5,0.747,-0.444,38,Pineapple,0.0,0.0,0.029
2020-03-09,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.07,15.76,52.3,20.65,1,0.803,-0.49,39,Pineapple,0.0,0.0,0.062
2020-03-10,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.06,14.44,41.4,21.53,1,0.599,-0.452,40,Pineapple,0.0,0.0,0.007
2020-03-11,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.36,16.74,37.1,21.32,5,0.506,-0.534,41,Pineapple,0.0,0.0,0.0
2020-03-12,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.9,14.02,48.3,21.98,1,0.311,-0.563,42,Pineapple,0.0,0.0,0.041
2020-03-13,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,22.53,24.75,12.5,51.8,12.24,7,2.125,-0.544,0,Tea,22.53,22.53,0.149
2020-03-14,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.21,14.28,52.1,22.41,8,1.606,-0.442,1,Pineapple,22.53,22.53,0.151
2020-03-15,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.28,16.73,45.8,21.59,7,1.942,-0.476,2,Pineapple,22.53,22.53,0.119
2020-03-16,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.84,14.9,47.3,22.86,2,0.863,-0.468,3,Pineapple,22.53,22.53,0.127
2020-03-17,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.55,16.3,39.8,22.8,5,0.417,-0.581,4,Pineapple,22.53,22.53,0.089
2020-03-18,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.47,15.41,39.0,20.77,4,1.337,-0.532,5,Pineapple,22.53,22.53,0.085
2020-03-19,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,92.87,15.99,13.31,72.5,10.78,4,1.573,-0.512,0,Wetland_Rice,115.4,115.4,0.624
2020-03-20,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.56,14.86,47.0,22.0,3,0.453,-0.563,1,Tea,92.87,115.4,0.406
2020-03-21,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.7,15.01,45.7,21.4,8,0.881,-0.489,2,Tea,92.87,115.4,0.4
2020-03-22,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.64,15.43,41.7,20.83,2,0.421,-0.526,3,Tea,92.87,115.4,0.38
2020-03-23,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.94,15.02,52.7,23.21,1,0.368,-0.605,4,Tea,92.87,115.4,0.435
2020-03-24,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.44,13.51,48.8,21.84,6,0.363,-0.499,5,Tea,92.87,115.4,0.415
2020-03-25,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.64,14.96,48.1,21.97,5,0.823,-0.542,6,Tea,92.87,115.4,0.412
2020-03-26,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.85,16.44,47.3,20.53,5,0.425,-0.487,7,Pineapple,0.0,115.4,0.036
2020-03-27,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.37,17.19,51.6,21.03,4,0.625,-0.608,8,Pineapple,0.0,115.4,0.058
2020-03-28,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,30.07,16.31,43.3,23.47,7,1.519,-0.505,9,Pineapple,0.0,115.4,0.016
2020-03-29,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.02,14.4,51.0,21.38,2,0.619,-0.437,10,Pineapple,0.0,115.4,0.055
2020-03-30,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.33,16.39,41.5,22.6,4,1.392,-0.532,11,Pineapple,0.0,115.4,0.007
2020-03-31,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.36,15.21,41.2,21.48,2,0.401,-0.485,12,Pineapple,0.0,115.4,0.006
2020-04-01,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.79,15.6,43.0,24.07,5,0.441,-0.44,13,Pineapple,0.0,115.4,0.015
2020-04-02,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.72,14.89,41.4,21.81,5,1.225,-0.491,14,Pineapple,0.0,115.4,0.007
2020-04-03,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.72,15.93,46.7,22.37,7,0.438,-0.486,15,Pineapple,0.0,115.4,0.034
2020-04-04,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.99,16.29,43.6,21.46,1,1.19,-0.627,16,Pineapple,0.0,115.4,0.018
2020-04-05,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.41,16.94,49.1,19.89,2,2.14,-0.511,17,Pineapple,0.0,115.4,0.045
2020-04-06,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.63,17.61,45.0,20.74,5,0.725,-0.552,18,Pineapple,0.0,115.4,0.025
2020-04-07,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,27.5,16.82,46.9,22.3,6,0.46,-0.561,19,Pineapple,0.0,115.4,0.034
2020-04-08,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,26.49,19.31,47.8,20.64,8,1.758,-0.513,20,Pineapple,0.0,115.4,0.039
2020-04-09,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.72,16.82,42.9,24.05,5,2.066,-0.529,21,Pineapple,0.0,115.4,0.014
2020-04-10,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,30.26,19.04,48.6,19.14,2,0.617,-0.519,22,Pineapple,0.0,115.4,0.043
2020-04-11,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.14,18.04,49.5,21.17,6,1.812,-0.466,23,Pineapple,0.0,115.4,0.047
2020-04-12,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.23,18.94,46.7,20.64,1,1.961,-0.498,24,Pineapple,0.0,92.87,0.034
2020-04-13,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.76,18.57,40.6,20.51,8,0.679,-0.592,25,Pineapple,0.0,92.87,0.003
2020-04-14,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.81,19.53,50.4,21.37,7,1.485,-0.51,26,Pineapple,0.0,92.87,0.052
2020-04-15,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.52,18.23,51.8,20.68,2,0.533,-0.51,27,Pineapple,0.0,92.87,0.059
2020-04-16,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.89,17.59,48.4,20.11,3,0.328,-0.409,28,Pineapple,0.0,92.87,0.042
2020-04-17,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.13,19.86,42.0,21.76,8,1.536,-0.527,29,Pineapple,0.0,92.87,0.01
2020-04-18,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,30.3,20.05,50.2,19.79,4,1.293,-0.525,30,Pineapple,0.0,0.0,0.051
2020-04-19,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,30.05,19.85,49.8,19.2,8,0.741,-0.449,31,Pineapple,0.0,0.0,0.049
2020-04-20,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,29.68,20.8,47.8,20.82,6,1.996,-0.548,32,Pineapple,0.0,0.0,0.039
2020-04-21,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.24,21.46,57.6,20.27,4,0.823,-0.527,33,Pineapple,0.0,0.0,0.088
2020-04-22,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.72,21.05,50.7,22.4,3,1.47,-0.462,34,Pineapple,0.0,0.0,0.053
2020-04-23,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.15,16.74,52.6,19.91,2,1.25,-0.484,35,Pineapple,0.0,0.0,0.063
2020-04-24,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.06,18.36,44.0,20.45,5,0.935,-0.523,36,Pineapple,0.0,0.0,0.02
2020-04-25,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.73,23.12,50.0,20.28,1,1.508,-0.628,37,Pineapple,0.0,0.0,0.05
2020-04-26,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.17,20.07,53.3,21.0,4,0.393,-0.556,38,Pineapple,0.0,0.0,0.066
2020-04-27,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,28.76,20.85,61.1,19.12,4,1.478,-0.469,39,Pineapple,0.0,0.0,0.105
2020-04-28,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.62,19.92,53.5,18.77,6,1.313,-0.554,40,Pineapple,0.0,0.0,0.068
2020-04-29,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,30.62,20.71,53.8,19.94,3,1.784,-0.522,41,Pineapple,0.0,0.0,0.069
2020-04-30,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.92,22.5,53.1,19.31,8,1.177,-0.546,42,Pineapple,0.0,0.0,0.066
2020-05-01,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,33.31,21.97,51.8,20.22,4,1.945,-0.527,43,Pineapple,0.0,0.0,0.059
2020-05-02,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,33.23,22.47,49.4,19.18,8,1.87,-0.562,44,Pineapple,0.0,0.0,0.047
2020-05-03,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.91,21.54,56.5,19.77,8,1.244,-0.556,45,Pineapple,0.0,0.0,0.082
2020-05-04,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,34.17,22.39,58.2,19.36,2,1.815,-0.53,46,Pineapple,0.0,0.0,0.091
2020-05-05,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.72,24.3,46.1,20.36,8,1.79,-0.587,47,Pineapple,0.0,0.0,0.03
2020-05-06,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.66,21.94,50.6,19.53,6,1.397,-0.597,48,Pineapple,0.0,0.0,0.053
2020-05-07,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.49,22.31,50.1,20.78,7,0.68,-0.618,49,Pineapple,0.0,0.0,0.05
2020-05-08,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,30.61,23.02,58.4,20.41,1,0.82,-0.626,50,Pineapple,0.0,0.0,0.092
2020-05-09,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,31.47,22.68,59.1,19.92,5,1.053,-0.56,51,Pineapple,0.0,0.0,0.095
2020-05-10,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,29.1,27.04,21.6,65.7,9.42,2,0.813,-0.573,0,Tea,29.1,29.1,0.245
2020-05-11,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,34.94,22.55,58.9,20.84,4,1.155,-0.586,1,Pineapple,29.1,29.1,0.211
2020-05-12,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.82,22.12,54.8,18.35,7,0.66,-0.534,2,Pineapple,29.1,29.1,0.19
2020-05-13,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,35.34,21.53,60.7,20.9,5,1.968,-0.644,3,Pineapple,29.1,29.1,0.22
2020-05-14,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.96,25.06,59.7,20.65,8,1.459,-0.498,4,Pineapple,29.1,29.1,0.215
2020-05-15,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,9.38,31.02,23.95,61.4,14.37,8,1.2,-0.644,0,Tea,38.48,38.48,0.261
2020-05-16,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,35.54,24.22,61.5,18.92,7,0.414,-0.542,1,Pineapple,38.48,38.48,0.261
2020-05-17,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.36,23.27,57.2,18.48,3,1.629,-0.706,2,Pineapple,9.38,38.48,0.124
2020-05-18,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,21.25,33.99,24.68,60.1,12.17,1,1.832,-0.668,0,Tea,30.63,59.73,0.223
2020-05-19,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,34.88,22.16,57.4,18.68,5,2.112,-0.554,1,Pineapple,30.63,59.73,0.21
2020-05-20,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,4.08,33.54,22.95,60.6,15.8,2,1.234,-0.67,0,Tea,34.71,63.81,0.242
2020-05-21,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,10.2,32.45,24.97,64.5,12.01,6,2.018,-0.583,0,Tea,44.91,74.01,0.302
2020-05-22,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,32.79,23.18,65.1,17.66,8,2.097,-0.659,1,Pineapple,35.53,74.01,0.268
2020-05-23,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,71.32,24.71,24.24,85.2,9.01,3,0.521,-0.55,0,Wetland_Rice,106.85,145.33,0.653
2020-05-24,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,35.33,23.55,62.5,18.28,2,1.375,-0.68,1,Wetland_Rice,106.85,145.33,0.54
2020-05-25,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,34.03,24.91,66.8,17.19,6,1.731,-0.674,2,Tea,85.6,145.33,0.476
2020-05-26,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,35.33,25.78,65.0,18.48,2,0.826,-0.613,3,Tea,85.6,145.33,0.467
2020-05-27,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,34.15,23.83,65.0,16.39,7,0.763,-0.598,4,Tea,81.52,145.33,0.451
2020-05-28,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,35.01,26.2,66.4,15.76,6,0.895,-0.637,5,Tea,71.32,145.33,0.417
2020-05-29,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,28.55,33.44,23.73,77.9,7.19,7,1.889,-0.624,0,Wetland_Rice,99.87,173.88,0.589
2020-05-30,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,33.25,26.13,70.6,18.0,5,2.105,-0.723,1,Pineapple,28.55,173.88,0.267
2020-05-31,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,33.6,25.62,69.4,17.49,4,1.833,-0.655,2,Pineapple,28.55,173.88,0.261
2020-06-01,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,37.46,27.93,63.3,15.89,7,1.306,-0.736,3,Tea,28.55,173.88,0.231
2020-06-02,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,33.78,24.77,73.7,16.94,1,1.994,-0.665,4,Pineapple,28.55,173.88,0.283
2020-06-03,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,35.85,26.79,68.9,17.94,4,0.512,-0.636,5,Pineapple,28.55,173.88,0.259
