model_district,block_lgd_code,gp_lgd_code,gp_name,centroid_lat,centroid_lon,elevation_m
Alipurduar,2173,109712,Mathura,26.58869,89.36686,80.0
Alipurduar,2173,109713,Parorpar,26.4917,89.47218,51.0
Alipurduar,2173,109714,Patlakhawa,26.51472,89.34711,61.0
Alipurduar,2173,109715,Purba Kanthalbari,26.54138,89.2835,67.0
Alipurduar,2173,109716,Shalkumar-I,26.6001,89.30575,77.0
Alipurduar,2173,109717,Shalkumar-Ii,26.55933,89.31115,75.0
Alipurduar,2173,109718,Tapsikhata,26.53609,89.42516,61.0
Alipurduar,2173,109719,Vivekanda-I,26.50427,89.45494,51.0
Alipurduar,2173,109720,Vivekanda-Ii,26.52736,89.52869,57.0
Alipurduar,2174,109721,Bhatibari,26.44526,89.6335,47.0
Alipurduar,2174,109722,Chaporer Par-I,26.45434,89.55702,44.0
Alipurduar,2174,109723,Chaporer Par-Ii,26.46259,89.58031,44.0
Alipurduar,2174,109724,Kohinoor,26.56472,89.69997,62.0
Alipurduar,2174,109725,Mahakalguri,26.51005,89.68545,52.0
Alipurduar,2174,109726,Majherdabri,26.53184,89.58705,47.0
Alipurduar,2174,109727,Parokata,26.45459,89.68653,47.0
Alipurduar,2174,109728,Shamuktala,26.54807,89.6579,57.0
Alipurduar,2174,109729,Tatpara-I,26.50553,89.62793,54.0
Alipurduar,2174,109730,Tatpara-Ii,26.47462,89.60743,47.0
Alipurduar,2174,109731,Turturi,26.61205,89.69218,72.0
Alipurduar,2175,109748,Dalgaon,26.65646,89.1332,84.0
Alipurduar,2175,109749,Deogaon,26.60402,89.18122,69.0
Alipurduar,2175,109750,Dhanirampur-I,26.6711,89.07596,94.0
Alipurduar,2175,109751,Dhanirampur-Ii,26.62419,89.08498,76.0
Alipurduar,2175,109753,Falakata-Ii,26.51996,89.2427,63.0
Alipurduar,2175,109754,Guabarnagar,26.5572,89.12987,65.0
Alipurduar,2175,109755,Jateswar-I,26.63638,89.15499,73.0
Alipurduar,2175,109756,Jateswar-Ii,26.56945,89.14046,68.0
Alipurduar,2175,109757,Mairadanga,26.57245,89.2215,70.0
Alipurduar,2175,109759,Shalkumar,26.61988,89.2501,77.0
Bankura,2356,108430,Bamuntore,23.59953,86.94073,118.0
Bankura,2356,108431,Dhekia,23.55183,86.98129,119.0
Bankura,2356,108432,Gogra,23.44494,86.96755,137.0
Bankura,2356,108433,Kanuri,23.48115,86.9936,133.0
Bankura,2356,108434,Pabra,23.51404,87.03932,103.0
Bankura,2356,108435,Salma,23.59852,87.00697,112.0
Bankura,2356,108436,Saltora,23.50936,86.93525,161.0
Bankura,2356,108437,Tiluri,23.56297,86.91376,132.0
Bankura,2357,108382,Ardhagram,23.58405,87.05972,83.0
Bankura,2357,108383,Banjora,23.5246,87.214,74.0
Bankura,2357,108384,Kushtore,23.52896,87.08175,93.0
Bankura,2357,108385,Mejhia,23.56,87.10639,77.0
Bankura,2357,108386,Ramchandrapur,23.53349,87.1489,78.0
Bankura,2358,108326,Banashuria,23.46753,87.07038,110.0
Bankura,2358,108327,Barshal,23.49216,87.17446,88.0
Bankura,2358,108328,Bhaktabundh,23.36089,87.07158,126.0
Bankura,2358,108329,Gangajalghati,23.41004,87.09127,119.0
Bankura,2358,108330,Gobindadham,23.34455,87.11572,110.0
Bankura,2358,108331,Kapista,23.392,87.16126,102.0
Bankura,2358,108332,Lachhmanpur,23.42073,87.03281,131.0
Bankura,2358,108333,Latiaboni,23.45893,87.12536,114.0
Bankura,2358,108334,Nityanandapur,23.43888,87.18036,90.0
Bankura,2358,108335,Pirraboni,23.35191,87.15847,103.0
Bankura,2359,108313,Arrah,23.3692,86.87577,134.0
Bankura,2359,108314,Chhatna-I,23.32205,86.9875,120.0
Bankura,2359,108315,Chhatna-Ii,23.31508,86.95433,144.0
Bankura,2359,108316,Chinabari,23.32891,86.85787,144.0
Bankura,2359,108317,Dhaban,23.4618,86.87959,158.0
Bankura,2359,108318,Ghosergram,23.32066,86.91591,134.0
Bankura,2359,108319,Jamtora,23.30956,86.82004,144.0
Bankura,2359,108320,Jhunjka,23.37341,86.94193,116.0
Bankura,2359,108321,Jirrah,23.41895,86.896,158.0
Bankura,2359,108322,Metyala,23.26181,86.83243,118.0
Bankura,2359,108323,Saldiha,23.2733,86.8808,118.0
Bankura,2359,108324,Susunia,23.39061,86.96288,128.0
Bankura,2359,108325,Teghori,23.20845,86.87075,146.0
Bankura,2360,108341,Bheduasole,23.11445,86.89623,130.0
Bankura,2360,108342,Brahmandiha,23.16355,86.79513,161.0
Bankura,2360,108343,Brajarajpur,23.0786,86.94768,112.0
Bankura,2360,108344,Gourbazar,23.11272,86.97872,103.0
Bankura,2360,108345,Hatagram,23.22543,86.80522,149.0
Bankura,2360,108346,Indpur,23.15939,86.9339,132.0
Bankura,2360,108347,Raghunathpur,23.14641,86.85371,158.0
Bankura,2361,108289,Anchuri,23.25548,86.99663,112.0
Bankura,2361,108290,Andarthole,23.20143,86.97938,114.0
Bankura,2361,108291,Jagadalla-I,23.19976,87.06719,99.0
Bankura,2361,108292,Jagadalla-Ii,23.19906,87.02473,107.0
Bankura,2361,108293,Kalpathar,23.21715,86.92741,110.0
Bankura,2361,108294,Kenjakura,23.26779,86.94431,106.0
Bankura,2362,108295,Bikna,23.25138,87.10138,83.0
Bankura,2362,108296,Junbedia,23.27475,87.03729,119.0
Bankura,2362,108297,Kosthia,23.2406,87.19723,91.0
Bankura,2362,108298,Mankanali,23.33263,87.03138,97.0
Bankura,2362,108299,Narrah,23.26977,87.15429,104.0
Bankura,2362,108300,Purandarpur,23.29062,87.10074,99.0
Bankura,2362,108301,Sanbandha,23.22308,87.0946,76.0
Bankura,2363,108302,Barjora,23.44047,87.31071,62.0
Bankura,2363,108303,Beliatore,23.30886,87.20371,99.0
Bankura,2363,108304,Brindabanpur,23.31399,87.31388,69.0
Bankura,2363,108305,Chhandar,23.29,87.25075,92.0
Bankura,2363,108306,Ghutgoria,23.45442,87.26414,75.0
Bankura,2363,108307,Godardihi,23.36042,87.28819,84.0
Bankura,2363,108308,Hat-Asuria,23.39221,87.31023,74.0
Bankura,2363,108309,Khanrari,23.36077,87.24128,103.0
Bankura,2363,108310,Maliara,23.48204,87.25139,72.0
Bankura,2363,108311,Pakhanna,23.41184,87.35782,66.0
Bankura,2363,108312,Sahajora,23.40798,87.22864,102.0
Bankura,2364,108451,Dhansimla,23.25859,87.44463,68.0
Bankura,2364,108452,Dhulai,23.34664,87.41044,61.0
Bankura,2364,108453,Dihipara,23.39197,87.42065,62.0
Bankura,2364,108454,Hamirhati,23.31037,87.36709,63.0
Bankura,2364,108455,Kochdihi,23.27118,87.3689,89.0
Bankura,2364,108456,Manikbazar,23.22262,87.38514,75.0
Bankura,2364,108457,Panchal,23.24472,87.29438,77.0
Bankura,2364,108458,Pearbera,23.36212,87.35886,64.0
Bankura,2364,108459,Purba-Nabasan,23.30689,87.48833,53.0
Bankura,2364,108460,Radhamohanpur,23.34135,87.45665,53.0
Bankura,2365,108402,Balsi-I,23.16475,87.5341,50.0
Bankura,2365,108403,Balsi-Ii,23.13507,87.52598,42.0
Bankura,2365,108404,Belut-Rasulpur,23.22206,87.58997,42.0
Bankura,2365,108405,Birsingha,23.19844,87.47653,76.0
Bankura,2365,108406,Biur-Betur,23.18317,87.57409,47.0
Bankura,2365,108407,Hamirpur,23.24447,87.52819,45.0
Bankura,2365,108408,Jamkuri,23.14791,87.47907,47.0
Bankura,2365,108409,Kushadwip,23.16649,87.4308,64.0
Bankura,2365,108410,Narayanpur,23.2804,87.54835,46.0
Bankura,2365,108411,Patrasayer,23.21886,87.51369,57.0
Bankura,2366,108348,Akui-I,23.10304,87.71701,32.0
Bankura,2366,108349,Akui-Ii,23.07906,87.73926,33.0
Bankura,2366,108350,Amrul,23.10759,87.55915,39.0
Bankura,2366,108351,Dighalgram,23.04847,87.70996,32.0
Bankura,2366,108352,Indas-I,23.13879,87.62443,39.0
Bankura,2366,108353,Indas-Ii,23.15306,87.5962,42.0
Bankura,2366,108354,Karisunda,23.10016,87.60249,36.0
Bankura,2366,108355,Mongalpur,23.07073,87.65294,29.0
Bankura,2366,108356,Rol,23.19124,87.64093,45.0
Bankura,2366,108357,Sahaspur,23.11491,87.66782,41.0
Bankura,2367,108374,Desra-Koalpara,22.96042,87.62122,32.0
Bankura,2367,108375,Gopinathpur,22.95512,87.55413,42.0
Bankura,2367,108376,Kotulpur,23.01575,87.60366,34.0
Bankura,2367,108377,Lego,23.00056,87.54369,36.0
Bankura,2367,108378,Lowgram,23.01174,87.66056,28.0
Bankura,2367,108379,Madanmohanpur,23.0544,87.6077,30.0
Bankura,2367,108380,Mirzapur,23.03972,87.55959,43.0
Bankura,2367,108381,Sihar,22.92615,87.5944,33.0
Bankura,2368,108358,Gelia,23.05846,87.51228,46.0
Bankura,2368,108359,Hetia,23.09134,87.51125,40.0
Bankura,2368,108360,Jagannathpur,22.95807,87.44669,53.0
Bankura,2368,108361,Kuchiakole,23.01382,87.44944,67.0
Bankura,2368,108362,Moynapur,22.99856,87.4952,45.0
Bankura,2368,108363,Routhkhanda,23.08838,87.46016,47.0
Bankura,2368,108364,Salda,23.04528,87.47036,53.0
Bankura,2368,108365,Shyamnagar,23.07471,87.41098,65.0
Bankura,2368,108366,Uttarbarh,22.94435,87.49183,51.0
Bankura,2369,108470,Ajodhya,23.15493,87.29928,63.0
Bankura,2369,108471,Bankadaha,22.97459,87.34198,64.0
Bankura,2369,108472,Belsulia,23.0042,87.38956,78.0
Bankura,2369,108473,Bhara,23.1606,87.3744,57.0
Bankura,2369,108474,Dwarika-Gossainpur,23.10239,87.3181,56.0
Bankura,2369,108475,Layekbandh,23.20071,87.31372,67.0
Bankura,2369,108476,Morar,23.0271,87.31458,89.0
Bankura,2369,108477,Radhanagar,23.14138,87.32948,60.0
Bankura,2369,108478,Uliara,23.11242,87.36825,54.0
Bankura,2370,108387,Chingani,23.07855,87.16166,89.0
Bankura,2370,108388,Churamonipur,23.09757,87.12513,83.0
Bankura,2370,108389,Kalyani,23.14506,87.04212,126.0
Bankura,2370,108390,Kantabari,23.05611,87.25139,82.0
Bankura,2370,108391,Lodna,23.1715,87.12323,91.0
Bankura,2370,108392,Majdiha,23.17792,87.24033,61.0
Bankura,2370,108393,Mednipur,23.12407,87.17753,84.0
Bankura,2370,108394,Nakaijuri,23.03895,87.19454,100.0
Bankura,2370,108395,Nikunjapur,23.17897,87.18381,67.0
Bankura,2370,108396,Onda-I,23.13844,87.21105,74.0
Bankura,2370,108397,Onda-Ii,23.15102,87.24195,66.0
Bankura,2370,108398,Punisole,23.14303,87.1027,110.0
Bankura,2370,108399,Ramsagar,23.10603,87.23648,74.0
Bankura,2370,108400,Ratanpur,23.10395,87.06177,117.0
Bankura,2370,108401,Santore,23.20917,87.14133,72.0
Bankura,2371,108461,Amdangra,22.95341,87.28385,81.0
Bankura,2371,108462,Bibarda,23.01456,87.04908,91.0
Bankura,2371,108463,Fulmati,23.02896,87.11435,83.0
Bankura,2371,108464,Harmasra,23.00356,86.99318,88.0
Bankura,2371,108465,Khalgram,23.05745,87.008,95.0
Bankura,2371,108466,Panchmura,22.97329,87.16737,72.0
Bankura,2371,108467,Saltora,22.93817,87.23228,72.0
Bankura,2371,108468,Satmouli,22.9957,87.24004,77.0
Bankura,2371,108469,Taldangra,23.04454,87.07736,104.0
Bankura,2372,108444,Bikrampur,22.88059,87.0485,73.0
Bankura,2372,108445,Dubrajpur,22.87881,87.11539,71.0
Bankura,2372,108446,Lakshmisagar,22.91631,87.02367,79.0
Bankura,2372,108447,Machatora,22.95609,87.0498,99.0
Bankura,2372,108448,Mandalgram,22.92006,87.15571,66.0
Bankura,2372,108449,Parsola,22.9272,86.97266,100.0
Bankura,2372,108450,Simlapal,22.93522,87.10521,82.0
Bankura,2373,108367,Baidyanathpur,23.01746,86.93677,111.0
Bankura,2373,108368,Dahala,22.93736,86.90087,110.0
Bankura,2373,108369,Dhanara,22.97848,86.92225,125.0
Bankura,2373,108370,Gorabari,22.97832,86.78821,146.0
Bankura,2373,108371,Khatragram-I,22.97513,86.85938,142.0
Bankura,2373,108372,Khatragram-Ii,22.95738,86.83515,115.0
Bankura,2373,108373,Supur,23.01142,86.86876,155.0
Bankura,2374,108336,Baharamuri,23.06096,86.87672,127.0
Bankura,2374,108337,Gopalpur,23.12638,86.75779,161.0
Bankura,2374,108338,Hirbandh,23.03289,86.81631,163.0
Bankura,2374,108339,Molian,23.09583,86.81196,148.0
Bankura,2374,108340,Moshiara,23.05083,86.76816,154.0
Bankura,2375,108422,Ambikanagar,22.9284,86.75734,129.0
Bankura,2375,108423,Barikul,22.76434,86.77503,161.0
Bankura,2375,108424,Haludkanali,22.87831,86.85188,115.0
Bankura,2375,108425,Puddi,22.96506,86.73079,130.0
Bankura,2375,108426,Rajakata,22.89728,86.80629,150.0
Bankura,2375,108427,Ranibandh,22.8367,86.77216,180.0
Bankura,2375,108428,Routora,22.80952,86.68318,204.0
Bankura,2375,108429,Rudra,22.87997,86.73377,170.0
Bankura,2376,108412,Dhanara,22.71221,86.97314,72.0
Bankura,2376,108413,Dheko,22.66676,86.93376,75.0
Bankura,2376,108414,Dundar,22.87193,86.90314,112.0
Bankura,2376,108415,Fulkusma,22.71252,86.84065,119.0
Bankura,2376,108416,Mandalkuli,22.73308,86.9141,87.0
Bankura,2376,108417,Melera,22.69039,86.8976,97.0
Bankura,2376,108418,Motgoda,22.77243,86.92381,83.0
Bankura,2376,108419,Raipur,22.79651,86.9257,87.0
Bankura,2376,108420,Shyamsundarpur,22.76432,86.85518,126.0
Bankura,2376,108421,Sonagara,22.82062,86.85161,148.0
Bankura,2377,108438,Bikrampur,22.74316,87.04154,76.0
Bankura,2377,108439,Chiltore,22.82552,86.96079,88.0
Bankura,2377,108440,Gargaria,22.69198,87.00808,62.0
Bankura,2377,108441,Goalbari,22.82118,87.02215,110.0
Bankura,2377,108442,Neturpur,22.87174,86.9744,112.0
Bankura,2377,108443,Sarenga,22.77202,87.01822,92.0
Birbhum_Suri,2249,108833,Chatra,24.3889,87.83249,32.0
Birbhum_Suri,2249,108834,Dumurgram,24.4296,87.82337,32.0
Birbhum_Suri,2249,108835,Gorsha,24.53225,87.88199,30.0
Birbhum_Suri,2249,108836,Mahurapur,24.51028,87.83112,40.0
Birbhum_Suri,2249,108837,Murarai,24.43651,87.86156,32.0
Birbhum_Suri,2249,108838,Palsa,24.47117,87.86092,32.0
Birbhum_Suri,2249,108839,Rajgram,24.55304,87.83052,42.0
Birbhum_Suri,2250,108840,Amdole,24.51399,87.92162,31.0
Birbhum_Suri,2250,108841,Jajigram,24.46702,87.94315,34.0
Birbhum_Suri,2250,108842,Kushmore-I,24.37595,87.94457,36.0
Birbhum_Suri,2250,108843,Kushmore-Ii,24.35742,87.91149,35.0
Birbhum_Suri,2250,108844,Mitrapur,24.42176,87.95861,39.0
Birbhum_Suri,2250,108845,Nandigram,24.47662,87.89433,29.0
Birbhum_Suri,2250,108846,Paikar-I,24.43923,87.91631,34.0
Birbhum_Suri,2250,108847,Paikar-Ii,24.41151,87.90898,35.0
Birbhum_Suri,2250,108848,Rudranagar,24.37512,87.88022,39.0
Birbhum_Suri,2251,108849,Banior,24.34237,87.80029,51.0
Birbhum_Suri,2251,108850,Barla,24.24827,87.91944,27.0
Birbhum_Suri,2251,108851,Bautia,24.28674,87.797,39.0
Birbhum_Suri,2251,108852,Haridaspur,24.27415,87.7412,46.0
Birbhum_Suri,2251,108853,Kaitha-I,24.28752,87.9189,35.0
Birbhum_Suri,2251,108854,Kaitha-Ii,24.31657,87.91201,36.0
Birbhum_Suri,2251,108855,Kalitha,24.30911,87.87697,42.0
Birbhum_Suri,2251,108856,Kurumgram,24.25379,87.86324,31.0
Birbhum_Suri,2251,108857,Paikpara,24.33484,87.84447,44.0
Birbhum_Suri,2252,108858,Bara-I,24.31202,87.96763,34.0
Birbhum_Suri,2252,108859,Bara-Ii,24.33042,87.94088,34.0
Birbhum_Suri,2252,108860,Bhadrapur-I,24.25819,87.95169,34.0
Birbhum_Suri,2252,108861,Bhadrapur-Ii,24.27695,87.96031,29.0
Birbhum_Suri,2252,108862,Noapara,24.27769,88.00026,33.0
Birbhum_Suri,2252,108863,Shitalgram,24.22183,87.9761,27.0
Birbhum_Suri,2253,108880,Ayas,24.2326,87.7824,47.0
Birbhum_Suri,2253,108881,Barshal,24.14664,87.79298,30.0
Birbhum_Suri,2253,108882,Bonhat,24.16551,87.73026,52.0
Birbhum_Suri,2253,108883,Dakhalbati,24.18885,87.81527,39.0
Birbhum_Suri,2253,108884,Kasthogora,24.12238,87.70993,49.0
Birbhum_Suri,2253,108885,Kharun,24.12011,87.76722,31.0
Birbhum_Suri,2253,108886,Kusumba,24.20278,87.7296,46.0
Birbhum_Suri,2253,108887,Mashra,24.13834,87.63625,66.0
Birbhum_Suri,2253,108888,Narayanpur,24.23248,87.69329,58.0
Birbhum_Suri,2254,108889,Bishnupur,24.14453,87.88624,30.0
Birbhum_Suri,2254,108890,Budhigram,24.09676,87.8734,31.0
Birbhum_Suri,2254,108891,Dunigram,24.19945,87.92544,31.0
Birbhum_Suri,2254,108892,Hansan-I,24.22255,87.88385,36.0
Birbhum_Suri,2254,108893,Hansan-Ii,24.18851,87.87861,34.0
Birbhum_Suri,2254,108894,Kaluha,24.21323,87.84113,39.0
Birbhum_Suri,2254,108895,Margram-I,24.16134,87.85266,36.0
Birbhum_Suri,2254,108897,Sahapur,24.10206,87.82373,34.0
Birbhum_Suri,2255,108805,Bajitpur,24.02381,87.68244,45.0
Birbhum_Suri,2255,108806,Baraturigram,24.03815,87.8639,34.0
Birbhum_Suri,2255,108807,Dabuk,24.05661,87.827,38.0
Birbhum_Suri,2255,108808,Dakshingram,24.01598,87.80823,37.0
Birbhum_Suri,2255,108809,Jhikodda,24.00334,87.72287,48.0
Birbhum_Suri,2255,108810,Kanachi,24.06807,87.74982,45.0
Birbhum_Suri,2255,108811,Mollarpur-I,24.08856,87.72837,36.0
Birbhum_Suri,2255,108812,Mollarpur-Ii,24.07386,87.70418,51.0
Birbhum_Suri,2255,108813,Talowan,24.05706,87.77973,40.0
Birbhum_Suri,2256,108814,Daspalsa,23.96997,87.79879,39.0
Birbhum_Suri,2256,108815,Dheka,23.93351,87.83262,36.0
Birbhum_Suri,2256,108816,Kaleswar,23.97307,87.83879,35.0
Birbhum_Suri,2256,108817,Kundola,23.96029,87.72823,44.0
Birbhum_Suri,2256,108818,Mayureswar,23.99412,87.76362,45.0
Birbhum_Suri,2256,108819,Satpalsa,23.92291,87.7838,37.0
Birbhum_Suri,2256,108820,Ulkunda,23.89255,87.83014,37.0
Birbhum_Suri,2257,108821,Angargaria,23.96976,87.60465,55.0
Birbhum_Suri,2257,108822,Bharkata,24.09044,87.61479,68.0
Birbhum_Suri,2257,108823,Bhutura,23.96428,87.54654,61.0
Birbhum_Suri,2257,108824,Charicha,23.99288,87.49503,103.0
Birbhum_Suri,2257,108825,Deucha,24.02558,87.57479,77.0
Birbhum_Suri,2257,108826,Gonpur,24.07913,87.66439,60.0
Birbhum_Suri,2257,108827,Hinglow,24.06639,87.56616,62.0
Birbhum_Suri,2257,108828,Kapista,24.08061,87.51582,77.0
Birbhum_Suri,2257,108829,Mahamadbazar,23.99346,87.56621,64.0
Birbhum_Suri,2257,108830,Puranagram,24.01274,87.61816,52.0
Birbhum_Suri,2257,108831,Rampur,24.03238,87.53722,71.0
Birbhum_Suri,2257,108832,Sekedda,24.03764,87.64334,51.0
Birbhum_Suri,2258,108875,Bhabanipur,23.97609,87.36392,105.0
Birbhum_Suri,2258,108876,Chandrapur,23.93936,87.41252,104.0
Birbhum_Suri,2258,108877,Gangmuri-Joypur,24.00225,87.28807,133.0
Birbhum_Suri,2258,108878,Rajnagar,23.92428,87.31198,122.0
Birbhum_Suri,2258,108879,Tantipara,23.92014,87.35273,108.0
Birbhum_Suri,2259,108910,Alunda,23.9277,87.58174,61.0
Birbhum_Suri,2259,108911,Bhurkuna,23.83448,87.48962,67.0
Birbhum_Suri,2259,108912,Karidhya,23.90801,87.48534,82.0
Birbhum_Suri,2259,108913,Khatanga,23.95967,87.47067,71.0
Birbhum_Suri,2259,108914,Mallickpur,23.87638,87.50892,77.0
Birbhum_Suri,2259,108915,Nagari,23.93702,87.45455,76.0
Birbhum_Suri,2259,108916,Tilpara,23.93543,87.53638,62.0
Birbhum_Suri,2260,108917,Abinashpur,23.81931,87.57575,56.0
Birbhum_Suri,2260,108918,Banshanka,23.79178,87.54788,56.0
Birbhum_Suri,2260,108919,Domdama,23.8856,87.60644,59.0
Birbhum_Suri,2260,108920,Kendua,23.88203,87.56374,60.0
Birbhum_Suri,2260,108921,Koma,23.84164,87.53953,49.0
Birbhum_Suri,2260,108922,Purandarpur,23.85218,87.58757,63.0
Birbhum_Suri,2261,108898,Ahmedpur,23.80299,87.67969,34.0
Birbhum_Suri,2261,108899,Amarpur,23.81644,87.63141,44.0
Birbhum_Suri,2261,108900,Banagram,23.92303,87.72972,41.0
Birbhum_Suri,2261,108901,Bhromorkol,23.84918,87.70753,49.0
Birbhum_Suri,2261,108902,Deriapur,23.95718,87.63387,52.0
Birbhum_Suri,2261,108903,Fulur,23.89577,87.70806,50.0
Birbhum_Suri,2261,108904,Hatora,23.88121,87.65965,51.0
Birbhum_Suri,2261,108905,Horisara,23.97713,87.67025,49.0
Birbhum_Suri,2261,108906,Mathpalsa,23.92211,87.64063,56.0
Birbhum_Suri,2261,108907,Panrui,23.77012,87.61741,51.0
Birbhum_Suri,2261,108908,Sangra,23.84564,87.65271,52.0
Birbhum_Suri,2261,108909,Sreenidhipur,23.77199,87.71191,36.0
Birbhum_Suri,2262,108794,Bipratikuri,23.74342,87.78681,38.0
Birbhum_Suri,2262,108795,Chauhatta-Mahodari-I,23.82465,87.75339,49.0
Birbhum_Suri,2262,108796,Chauhatta-Mahodari-Ii,23.789,87.75611,36.0
Birbhum_Suri,2262,108797,Dwaraka,23.86396,87.83092,37.0
Birbhum_Suri,2262,108798,Hatia,23.87298,87.76788,42.0
Birbhum_Suri,2262,108799,Indus,23.7804,87.82644,33.0
Birbhum_Suri,2262,108800,Jamna,23.79362,87.9287,29.0
Birbhum_Suri,2262,108801,Kurunnahar,23.82664,87.86542,29.0
Birbhum_Suri,2262,108802,Labpur-I,23.81226,87.8162,30.0
Birbhum_Suri,2262,108803,Labpur-Ii,23.83902,87.79999,43.0
Birbhum_Suri,2262,108804,Thiba,23.81725,87.90643,21.0
Birbhum_Suri,2262,108870,Kirnahar-I,23.7927,87.88996,23.0
Birbhum_Suri,2263,108864,Barasaota,23.70211,87.81197,33.0
Birbhum_Suri,2263,108865,Chandidasnanoor,23.70455,87.87226,32.0
Birbhum_Suri,2263,108866,Charkalgram,23.64942,87.83052,34.0
Birbhum_Suri,2263,108867,Daskalgram-Kareya-I,23.7601,87.92092,32.0
Birbhum_Suri,2263,108868,Daskalgram-Kareya-Ii,23.73175,87.90003,27.0
Birbhum_Suri,2263,108869,Jalundi,23.6205,87.85834,32.0
Birbhum_Suri,2263,108871,Kirnahar-Ii,23.75373,87.84771,35.0
Birbhum_Suri,2263,108872,Nawanagar-Kadda,23.61407,87.92012,24.0
Birbhum_Suri,2263,108873,Thupsara,23.57226,87.87987,30.0
Birbhum_Suri,2263,108874,Uchkaran,23.664,87.8949,24.0
Birbhum_Suri,2264,108756,Bahiri-Panchshowa,23.62951,87.76199,41.0
Birbhum_Suri,2264,108757,Kankalitala,23.71152,87.73349,40.0
Birbhum_Suri,2264,108758,Kasba,23.73473,87.65189,51.0
Birbhum_Suri,2264,108759,Raipur-Supur,23.62781,87.66671,47.0
Birbhum_Suri,2264,108760,Ruppur,23.67272,87.62642,48.0
Birbhum_Suri,2264,108761,Sarpalehana-Albandha,23.73857,87.70776,45.0
Birbhum_Suri,2264,108762,Sattore,23.71794,87.61625,52.0
Birbhum_Suri,2264,108763,Sian-Muluk,23.66482,87.74289,50.0
Birbhum_Suri,2264,108764,Singhee,23.59564,87.80115,38.0
Birbhum_Suri,2265,108775,Batikar,23.7492,87.5234,57.0
Birbhum_Suri,2265,108776,Belati,23.68466,87.57571,52.0
Birbhum_Suri,2265,108777,Dharampur,23.69341,87.50497,61.0
Birbhum_Suri,2265,108778,Ghurisha,23.63942,87.49317,58.0
Birbhum_Suri,2265,108779,Illambazar,23.6284,87.57577,54.0
Birbhum_Suri,2265,108780,Joydev-Kenduli,23.64118,87.45008,58.0
Birbhum_Suri,2265,108781,Mongoldihi,23.74178,87.56204,61.0
Birbhum_Suri,2265,108782,Nanasole,23.66595,87.54019,55.0
Birbhum_Suri,2265,108783,Sirsha,23.67898,87.4426,65.0
Birbhum_Suri,2266,108765,Balijuri,23.80638,87.33339,83.0
Birbhum_Suri,2266,108766,Chinpai,23.81818,87.44147,75.0
Birbhum_Suri,2266,108767,Gohaliara,23.86821,87.37653,89.0
Birbhum_Suri,2266,108768,Hetampur,23.77305,87.38573,79.0
Birbhum_Suri,2266,108769,Jashpur,23.75634,87.4359,66.0
Birbhum_Suri,2266,108770,Laxmi-Narayanpur,23.84819,87.34734,108.0
Birbhum_Suri,2266,108771,Loba,23.72886,87.39255,74.0
Birbhum_Suri,2266,108772,Paduma,23.72931,87.47235,63.0
Birbhum_Suri,2266,108773,Parulia,23.87128,87.43911,77.0
