index,date,district,issue,old_tmax,old_tmin,new_tmax,new_tmin
20611,2022-06-02,Alipurduar,Inversion Tmax (23.42 C) < Tmin (25.43 C),23.42,25.43,25.93,23.42
20615,2022-06-06,Alipurduar,Inversion Tmax (24.06 C) < Tmin (26.3 C),24.06,26.3,26.8,24.06
20637,2022-06-28,Alipurduar,Inversion Tmax (29.23 C) < Tmin (29.74 C),29.23,29.74,30.24,29.23
20661,2022-07-22,Alipurduar,Inversion Tmax (20.4 C) < Tmin (26.39 C),20.4,26.39,26.89,20.4
20689,2022-08-19,Alipurduar,Unphysical low Tmax (8.9 C) during heavy rain,8.9,27.02,28.22,27.02
20697,2022-08-27,Alipurduar,Inversion Tmax (21.15 C) < Tmin (26.98 C),21.15,26.98,27.48,21.15
20982,2023-06-08,Alipurduar,Inversion Tmax (13.08 C) < Tmin (24.26 C),13.08,24.26,24.76,13.08
20985,2023-06-11,Alipurduar,Inversion Tmax (24.59 C) < Tmin (26.77 C),24.59,26.77,27.27,24.59
21031,2023-07-27,Alipurduar,Inversion Tmax (22.73 C) < Tmin (26.06 C),22.73,26.06,26.56,22.73
21052,2023-08-17,Alipurduar,Inversion Tmax (24.4 C) < Tmin (28.6 C),24.4,28.6,29.1,24.4
21127,2023-10-31,Alipurduar,Inversion Tmax (14.24 C) < Tmin (18.4 C),14.24,18.4,18.9,14.24
21330,2024-05-21,Alipurduar,Inversion Tmax (20.37 C) < Tmin (25.14 C),20.37,25.14,25.64,20.37
21341,2024-06-01,Alipurduar,Inversion Tmax (23.57 C) < Tmin (24.29 C),23.57,24.29,24.79,23.57
21364,2024-06-24,Alipurduar,Inversion Tmax (21.59 C) < Tmin (26.21 C),21.59,26.21,26.71,21.59
21367,2024-06-27,Alipurduar,Inversion Tmax (25.06 C) < Tmin (27.67 C),25.06,27.67,28.17,25.06
21408,2024-08-07,Alipurduar,Inversion Tmax (27.45 C) < Tmin (27.88 C),27.45,27.88,28.38,27.45
21422,2024-08-21,Alipurduar,Inversion Tmax (23.79 C) < Tmin (24.98 C),23.79,24.98,25.48,23.79
21715,2025-06-10,Alipurduar,Inversion Tmax (18.33 C) < Tmin (26.18 C),18.33,26.18,26.68,18.33
21724,2025-06-19,Alipurduar,Inversion Tmax (13.11 C) < Tmin (27.37 C),13.11,27.37,27.87,13.11
21753,2025-07-18,Alipurduar,Inversion Tmax (20.57 C) < Tmin (26.22 C),20.57,26.22,26.72,20.57
22010,2020-03-31,Cooch_Behar,Inversion Tmax (11.51 C) < Tmin (15.96 C),11.51,15.96,16.46,11.51
22093,2020-06-22,Cooch_Behar,Inversion Tmax (20.35 C) < Tmin (27.12 C),20.35,27.12,27.62,20.35
22112,2020-07-11,Cooch_Behar,Inversion Tmax (25.24 C) < Tmin (27.87 C),25.24,27.87,28.37,25.24
22125,2020-07-24,Cooch_Behar,Inversion Tmax (28.43 C) < Tmin (29.01 C),28.43,29.01,29.51,28.43
22131,2020-07-30,Cooch_Behar,Inversion Tmax (21.2 C) < Tmin (27.46 C),21.2,27.46,27.96,21.2
22138,2020-08-06,Cooch_Behar,Inversion Tmax (25.59 C) < Tmin (26.98 C),25.59,26.98,27.48,25.59
22158,2020-08-26,Cooch_Behar,Inversion Tmax (19.55 C) < Tmin (27.06 C),19.55,27.06,27.56,19.55
22175,2020-09-12,Cooch_Behar,Inversion Tmax (17.04 C) < Tmin (23.04 C),17.04,23.04,23.54,17.04
22176,2020-09-13,Cooch_Behar,Inversion Tmax (16.36 C) < Tmin (24.44 C),16.36,24.44,24.94,16.36
22446,2021-06-10,Cooch_Behar,Inversion Tmax (18.25 C) < Tmin (24.41 C),18.25,24.41,24.91,18.25
22472,2021-07-06,Cooch_Behar,Inversion Tmax (24.78 C) < Tmin (27.46 C),24.78,27.46,27.96,24.78
22483,2021-07-17,Cooch_Behar,Inversion Tmax (18.94 C) < Tmin (26.02 C),18.94,26.02,26.52,18.94
22499,2021-08-02,Cooch_Behar,Inversion Tmax (23.84 C) < Tmin (26.5 C),23.84,26.5,27.0,23.84
22788,2022-05-18,Cooch_Behar,Inversion Tmax (21.06 C) < Tmin (24.65 C),21.06,24.65,25.15,21.06
22798,2022-05-28,Cooch_Behar,Inversion Tmax (21.46 C) < Tmin (25.77 C),21.46,25.77,26.27,21.46
22828,2022-06-27,Cooch_Behar,Inversion Tmax (23.95 C) < Tmin (26.89 C),23.95,26.89,27.39,23.95
22845,2022-07-14,Cooch_Behar,Inversion Tmax (26.35 C) < Tmin (27.53 C),26.35,27.53,28.03,26.35
22867,2022-08-05,Cooch_Behar,Inversion Tmax (21.93 C) < Tmin (28.42 C),21.93,28.42,28.92,21.93
22907,2022-09-14,Cooch_Behar,Inversion Tmax (13.87 C) < Tmin (22.9 C),13.87,22.9,23.4,13.87
22937,2022-10-14,Cooch_Behar,Inversion Tmax (19.98 C) < Tmin (20.17 C),19.98,20.17,20.67,19.98
23155,2023-05-20,Cooch_Behar,Inversion Tmax (23.55 C) < Tmin (23.93 C),23.55,23.93,24.43,23.55
23207,2023-07-11,Cooch_Behar,Inversion Tmax (29.24 C) < Tmin (29.46 C),29.24,29.46,29.96,29.24
23214,2023-07-18,Cooch_Behar,Inversion Tmax (26.14 C) < Tmin (26.73 C),26.14,26.73,27.23,26.14
23225,2023-07-29,Cooch_Behar,Inversion Tmax (23.06 C) < Tmin (27.22 C),23.06,27.22,27.72,23.06
23228,2023-08-01,Cooch_Behar,Inversion Tmax (23.34 C) < Tmin (26.99 C),23.34,26.99,27.49,23.34
23264,2023-09-06,Cooch_Behar,Inversion Tmax (14.14 C) < Tmin (25.75 C),14.14,25.75,26.25,14.14
23282,2023-09-24,Cooch_Behar,Inversion Tmax (19.3 C) < Tmin (21.75 C),19.3,21.75,22.25,19.3
23338,2023-11-19,Cooch_Behar,Inversion Tmax (13.35 C) < Tmin (15.93 C),13.35,15.93,16.43,13.35
23497,2024-04-26,Cooch_Behar,Inversion Tmax (9.96 C) < Tmin (19.65 C),9.96,19.65,20.15,9.96
23521,2024-05-20,Cooch_Behar,Inversion Tmax (22.24 C) < Tmin (26.74 C),22.24,26.74,27.24,22.24
23524,2024-05-23,Cooch_Behar,Inversion Tmax (18.48 C) < Tmin (25.54 C),18.48,25.54,26.04,18.48
23551,2024-06-19,Cooch_Behar,Inversion Tmax (20.75 C) < Tmin (28.01 C),20.75,28.01,28.51,20.75
23563,2024-07-01,Cooch_Behar,Unphysical low Tmax (-9.29 C) during heavy rain,-9.29,26.87,28.07,26.87
23585,2024-07-23,Cooch_Behar,Inversion Tmax (23.73 C) < Tmin (29.53 C),23.73,29.53,30.03,23.73
23602,2024-08-09,Cooch_Behar,Inversion Tmax (26.44 C) < Tmin (28.82 C),26.44,28.82,29.32,26.44
23609,2024-08-16,Cooch_Behar,Inversion Tmax (23.86 C) < Tmin (24.6 C),23.86,24.6,25.1,23.86
23619,2024-08-26,Cooch_Behar,Inversion Tmax (22.72 C) < Tmin (26.82 C),22.72,26.82,27.32,22.72
23928,2025-07-01,Cooch_Behar,Inversion Tmax (20.21 C) < Tmin (28.3 C),20.21,28.3,28.8,20.21
23957,2025-07-30,Cooch_Behar,Inversion Tmax (27.76 C) < Tmin (27.86 C),27.76,27.86,28.36,27.76
23976,2025-08-18,Cooch_Behar,Inversion Tmax (22.83 C) < Tmin (26.11 C),22.83,26.11,26.61,22.83
23995,2025-09-06,Cooch_Behar,Inversion Tmax (22.3 C) < Tmin (25.2 C),22.3,25.2,25.7,22.3
24005,2025-09-16,Cooch_Behar,Inversion Tmax (21.59 C) < Tmin (24.68 C),21.59,24.68,25.18,21.59
24012,2025-09-23,Cooch_Behar,Inversion Tmax (16.24 C) < Tmin (20.76 C),16.24,20.76,21.26,16.24
24229,2020-04-27,Siliguri_Foothill,Inversion Tmax (18.45 C) < Tmin (21.47 C),18.45,21.47,21.97,18.45
24271,2020-06-08,Siliguri_Foothill,Inversion Tmax (23.96 C) < Tmin (25.87 C),23.96,25.87,26.37,23.96
24284,2020-06-21,Siliguri_Foothill,Inversion Tmax (27.53 C) < Tmin (28.22 C),27.53,28.22,28.72,27.53
24319,2020-07-26,Siliguri_Foothill,Inversion Tmax (28.16 C) < Tmin (28.17 C),28.16,28.17,28.67,28.16
24655,2021-06-27,Siliguri_Foothill,Inversion Tmax (20.48 C) < Tmin (28.49 C),20.48,28.49,28.99,20.48
24678,2021-07-20,Siliguri_Foothill,Inversion Tmax (23.71 C) < Tmin (28.33 C),23.71,28.33,28.83,23.71
24699,2021-08-10,Siliguri_Foothill,Inversion Tmax (24.83 C) < Tmin (25.97 C),24.83,25.97,26.47,24.83
24702,2021-08-13,Siliguri_Foothill,Inversion Tmax (18.88 C) < Tmin (25.64 C),18.88,25.64,26.14,18.88
24723,2021-09-03,Siliguri_Foothill,Inversion Tmax (25.17 C) < Tmin (26.58 C),25.17,26.58,27.08,25.17
24731,2021-09-11,Siliguri_Foothill,Inversion Tmax (23.83 C) < Tmin (25.48 C),23.83,25.48,25.98,23.83
24942,2022-04-10,Siliguri_Foothill,Inversion Tmax (17.13 C) < Tmin (18.12 C),17.13,18.12,18.62,17.13
24973,2022-05-11,Siliguri_Foothill,Inversion Tmax (14.38 C) < Tmin (21.6 C),14.38,21.6,22.1,14.38
25019,2022-06-26,Siliguri_Foothill,Inversion Tmax (24.15 C) < Tmin (27.94 C),24.15,27.94,28.44,24.15
25030,2022-07-07,Siliguri_Foothill,Inversion Tmax (23.93 C) < Tmin (28.13 C),23.93,28.13,28.63,23.93
25034,2022-07-11,Siliguri_Foothill,Inversion Tmax (22.64 C) < Tmin (27.9 C),22.64,27.9,28.4,22.64
25042,2022-07-19,Siliguri_Foothill,Inversion Tmax (18.07 C) < Tmin (26.7 C),18.07,26.7,27.2,18.07
25046,2022-07-23,Siliguri_Foothill,Inversion Tmax (27.67 C) < Tmin (27.71 C),27.67,27.71,28.21,27.67
25049,2022-07-26,Siliguri_Foothill,Inversion Tmax (25.42 C) < Tmin (27.82 C),25.42,27.82,28.32,25.42
25097,2022-09-12,Siliguri_Foothill,Inversion Tmax (24.21 C) < Tmin (24.31 C),24.21,24.31,24.81,24.21
25111,2022-09-26,Siliguri_Foothill,Inversion Tmax (21.34 C) < Tmin (22.87 C),21.34,22.87,23.37,21.34
25373,2023-06-15,Siliguri_Foothill,Inversion Tmax (27.34 C) < Tmin (28.38 C),27.34,28.38,28.88,27.34
25378,2023-06-20,Siliguri_Foothill,Inversion Tmax (25.25 C) < Tmin (26.37 C),25.25,26.37,26.87,25.25
25388,2023-06-30,Siliguri_Foothill,Inversion Tmax (25.89 C) < Tmin (27.75 C),25.89,27.75,28.25,25.89
25390,2023-07-02,Siliguri_Foothill,Inversion Tmax (25.37 C) < Tmin (27.19 C),25.37,27.19,27.69,25.37
25424,2023-08-05,Siliguri_Foothill,Inversion Tmax (22.72 C) < Tmin (28.08 C),22.72,28.08,28.58,22.72
25451,2023-09-01,Siliguri_Foothill,Inversion Tmax (22.74 C) < Tmin (24.89 C),22.74,24.89,25.39,22.74
25452,2023-09-02,Siliguri_Foothill,Inversion Tmax (24.7 C) < Tmin (24.82 C),24.7,24.82,25.32,24.7
25463,2023-09-13,Siliguri_Foothill,Inversion Tmax (18.23 C) < Tmin (24.94 C),18.23,24.94,25.44,18.23
25757,2024-07-03,Siliguri_Foothill,Inversion Tmax (24.06 C) < Tmin (27.11 C),24.06,27.11,27.61,24.06
25815,2024-08-30,Siliguri_Foothill,Inversion Tmax (23.69 C) < Tmin (25.87 C),23.69,25.87,26.37,23.69
25868,2024-10-22,Siliguri_Foothill,Inversion Tmax (17.69 C) < Tmin (18.82 C),17.69,18.82,19.32,17.69
26059,2025-05-01,Siliguri_Foothill,Inversion Tmax (10.92 C) < Tmin (20.32 C),10.92,20.32,20.82,10.92
26061,2025-05-03,Siliguri_Foothill,Inversion Tmax (21.55 C) < Tmin (23.43 C),21.55,23.43,23.93,21.55
26090,2025-06-01,Siliguri_Foothill,Inversion Tmax (21.64 C) < Tmin (27.47 C),21.64,27.47,27.97,21.64
26107,2025-06-18,Siliguri_Foothill,Inversion Tmax (24.2 C) < Tmin (27.06 C),24.2,27.06,27.56,24.2
26119,2025-06-30,Siliguri_Foothill,Inversion Tmax (27.7 C) < Tmin (27.81 C),27.7,27.81,28.31,27.7
26131,2025-07-12,Siliguri_Foothill,Inversion Tmax (22.62 C) < Tmin (26.49 C),22.62,26.49,26.99,22.62
26134,2025-07-15,Siliguri_Foothill,Inversion Tmax (23.29 C) < Tmin (24.85 C),23.29,24.85,25.35,23.29
26147,2025-07-28,Siliguri_Foothill,Inversion Tmax (27.61 C) < Tmin (28.23 C),27.61,28.23,28.73,27.61
26161,2025-08-11,Siliguri_Foothill,Inversion Tmax (16.29 C) < Tmin (26.56 C),16.29,26.56,27.06,16.29
