gp_lgd_code,gp_name,district_code,district_name,block_code,block_name,num_lgd_villages,num_villages_in_soi,num_villages_absent_soi,is_exclusively_split_geom,has_any_safe_villages,classification
110775,Madanpur-I,320,Nadia,6966,Kalyani,6,6,0,False,False,ADMINISTRATIVE_MISMATCH
110776,Madanpur-Ii,320,Nadia,6966,Kalyani,4,4,0,False,False,OTHER
110777,Saguna,320,Nadia,6966,Kalyani,10,10,0,False,False,ADMINISTRATIVE_MISMATCH
110778,Sarati,320,Nadia,6966,Kalyani,12,12,0,False,False,ADMINISTRATIVE_MISMATCH
110781,Simurali,320,Nadia,6966,Kalyani,9,9,0,False,False,ADMINISTRATIVE_MISMATCH
110879,Fakirdanga Gholapara,320,Nadia,2307,Nabadwip,1,1,0,True,False,FULLY_EXCLUDED_MULTI_GP
110930,Fulia Township,320,Nadia,2311,Santipur,1,1,0,True,False,FULLY_EXCLUDED_MULTI_GP
261006,Lower Echhay,702,Kalimpong,2156,Kalimpong -I,1,1,0,True,False,FULLY_EXCLUDED_MULTI_GP
261016,Upper Echhay,702,Kalimpong,2156,Kalimpong -I,1,1,0,True,False,FULLY_EXCLUDED_MULTI_GP
261021,Kage,702,Kalimpong,7051,Pedong,3,3,0,False,False,ADMINISTRATIVE_MISMATCH
261022,Kashyong,702,Kalimpong,7051,Pedong,1,1,0,False,False,ADMINISTRATIVE_MISMATCH
261024,Lingseykha,702,Kalimpong,7051,Pedong,2,2,0,False,False,ADMINISTRATIVE_MISMATCH
261027,Pedon,702,Kalimpong,7051,Pedong,2,2,0,False,False,ADMINISTRATIVE_MISMATCH
261030,Syakiyong,702,Kalimpong,7051,Pedong,2,2,0,False,False,ADMINISTRATIVE_MISMATCH
261050,Paheligaon School Dara-Ii,309,Darjeeling,2160,Mirik,2,2,0,True,False,FULLY_EXCLUDED_MULTI_GP
299521,Lingsey,702,Kalimpong,7051,Pedong,1,1,0,False,False,ADMINISTRATIVE_MISMATCH
