Village_LGD_Code,Village_Name,District,Block,Num_GP_Codes,GP_LGD_Codes,GP_Names,Survey_Geometry_Count,Duplication_Category
306862,Ambari Falakata,Jalpaiguri,Rajganj,2,109844; 109850,Binnaguri; Majhiali,1,B: Single SOI Geometry to Multiple GPs
306864,Jugibhita,Jalpaiguri,Rajganj,2,109844; 109850,Binnaguri; Majhiali,1,B: Single SOI Geometry to Multiple GPs
306879,Sannyasikata,Jalpaiguri,Rajganj,2,109850; 109853,Majhiali; Sannyasikata,1,B: Single SOI Geometry to Multiple GPs
306880,Sukani,Jalpaiguri,Rajganj,2,109849; 109855,Kukurjan; Sukhani,1,B: Single SOI Geometry to Multiple GPs
306882,Dabgram (P) (Ct),Jalpaiguri,Rajganj,3,109845; 109846; 109847,Dabgram-I; Dabgram-Ii; Fulbari-I,1,B: Single SOI Geometry to Multiple GPs
306883,Binnaguri (Ct),Jalpaiguri,Rajganj,2,109844; 109848,Binnaguri; Fulbari-Ii,1,B: Single SOI Geometry to Multiple GPs
307019,Matialihat (Ct),Jalpaiguri,Matiali,2,109819; 109820,Indong-Matiali; Matiali Hat,1,B: Single SOI Geometry to Multiple GPs
307030,Bhagatpur Tea Garden,Jalpaiguri,Nagrakata,2,109841; 109843,Champaguri; Sulkapara,1,B: Single SOI Geometry to Multiple GPs
307063,Birpara Tea Garden,Alipurduar,Madarihat,2,109797; 109804,Birpara-I; Shishujhumra,1,B: Single SOI Geometry to Multiple GPs
307240,Paschim Salbari,Alipurduar,Alipurduar - I,2,109718; 109719,Tapsikhata; Vivekanda-I,1,B: Single SOI Geometry to Multiple GPs
307244,Uttar Paitkapara,Alipurduar,Alipurduar - I,2,109718; 109719,Tapsikhata; Vivekanda-I,1,B: Single SOI Geometry to Multiple GPs
307245,Paitkapara Tea Garden,Alipurduar,Alipurduar - I,2,109718; 109719,Tapsikhata; Vivekanda-I,2,A: Multiple SOI Geometries
307249,Chapatali,Alipurduar,Alipurduar - I,2,109710; 109713,Banchukamari; Parorpar,1,B: Single SOI Geometry to Multiple GPs
307562,Padamati,Jalpaiguri,Maynaguri,2,109834; 109835,Padamoti-I; Padamoti-Ii,1,B: Single SOI Geometry to Multiple GPs
307587,Saptibari,Jalpaiguri,Maynaguri,2,109837; 109838,Saptibari-I; Saptibari-Ii,1,B: Single SOI Geometry to Multiple GPs
307593,Mainaguri (Ct),Jalpaiguri,Maynaguri,2,109829; 109833,Khagrabari-I; Maynaguri,1,B: Single SOI Geometry to Multiple GPs
307598,Bahadur,Jalpaiguri,Jalpaiguri,2,109760; 109761,Arabinda; Bahadur,1,B: Single SOI Geometry to Multiple GPs
307599,Patkata,Jalpaiguri,Jalpaiguri,4,109760; 109763; 109771; 109772,Arabinda; Belakoba; Paharpur; Patkata,1,B: Single SOI Geometry to Multiple GPs
307601,Mandalghat,Jalpaiguri,Jalpaiguri,2,109766; 109769,Kharia; Mondalghat,1,B: Single SOI Geometry to Multiple GPs
307602,Garalbari,Jalpaiguri,Jalpaiguri,2,109765; 109769,Garalbari; Mondalghat,1,B: Single SOI Geometry to Multiple GPs
307616,Berubari,Jalpaiguri,Jalpaiguri,4,109767; 109768; 109770; 109773,Kharija-Berubari-I; Kharija-Berubari-Ii; Nagar Berubari; South Berubari,1,B: Single SOI Geometry to Multiple GPs
307620,Kharija Berubari,Jalpaiguri,Jalpaiguri,2,109767; 109768,Kharija-Berubari-I; Kharija-Berubari-Ii,1,B: Single SOI Geometry to Multiple GPs
307623,Kharia (P) (Ct),Jalpaiguri,Jalpaiguri,3,109760; 109766; 109771,Arabinda; Kharia; Paharpur,1,B: Single SOI Geometry to Multiple GPs
307624,Bara Haldibari (P),Cooch Behar,Haldibari,2,108980; 108984,Dakshin Bara Haldibari; Uttar Bara Haldibari,1,B: Single SOI Geometry to Multiple GPs
307692,Tista Nadir Payasti,Cooch Behar,Mekliganj,2,109009; 109010,Kuchlibari; Niztarof,1,B: Single SOI Geometry to Multiple GPs
307707,Fulkardabri,Cooch Behar,Mekliganj,2,109005; 109010,Bagdogra-Fulkadabri; Niztarof,1,B: Single SOI Geometry to Multiple GPs
307709,Bhotbari,Cooch Behar,Mekliganj,3,109005; 109006; 109010,Bagdogra-Fulkadabri; Bhotbari; Niztarof,1,B: Single SOI Geometry to Multiple GPs
307745,Uchal Pukhari,Cooch Behar,Mekliganj,2,109008; 109012,Jamaldaha; Uchalpukuri,1,B: Single SOI Geometry to Multiple GPs
307818,Chhota Nijtaraf,Cooch Behar,Mekliganj,2,109006; 109010,Bhotbari; Niztarof,1,B: Single SOI Geometry to Multiple GPs
307834,Mekliganj (P),Cooch Behar,Mekliganj,2,109005; 109010,Bagdogra-Fulkadabri; Niztarof,1,B: Single SOI Geometry to Multiple GPs
308166,Rashidanga Dwitia Khanda,Cooch Behar,Cooch Behar - I,2,108944; 108950,Haribhanga; Sutkabari,1,B: Single SOI Geometry to Multiple GPs
308212,Guriahati (Ct),Cooch Behar,Cooch Behar - I,2,108942; 108943,Guriahati-I; Guriahati-Ii,1,B: Single SOI Geometry to Multiple GPs
308221,Sakunibala,Cooch Behar,Cooch Behar - II,2,108925; 108933,Bararangras; Patlakhawa,1,B: Single SOI Geometry to Multiple GPs
308222,Kalarayerkuthi,Cooch Behar,Cooch Behar - II,2,108933; 108934,Patlakhawa; Pundibari,1,B: Single SOI Geometry to Multiple GPs
308243,Kaljani,Cooch Behar,Cooch Behar - II,2,108924; 108930,Baneswar; Khapaidanga,1,B: Single SOI Geometry to Multiple GPs
308357,Jaigir Chilakhana,Cooch Behar,Tufanganj - I,2,109031; 109039,Chilkhana-I; Natabari-Ii,1,B: Single SOI Geometry to Multiple GPs
308367,Andaran Phulbari (P),Cooch Behar,Tufanganj - I,2,109026; 109027,Andaran-Fulbari-I; Andaran-Fulbari-Ii,1,B: Single SOI Geometry to Multiple GPs
308384,Balarampur,Cooch Behar,Tufanganj - I,3,109029; 109030; 109033,Balarampur-I; Balarampur-Ii; Deocharai,1,B: Single SOI Geometry to Multiple GPs
308409,Rampur,Cooch Behar,Tufanganj - II,2,109047; 109048,Rampur-I; Rampur-Ii,1,B: Single SOI Geometry to Multiple GPs
308413,Jaldhoa,Cooch Behar,Tufanganj - II,2,109046; 109048,Mahiskuchi-I; Rampur-Ii,1,B: Single SOI Geometry to Multiple GPs
308623,Dashgram Gobra,Cooch Behar,Dinhata - II,2,108973; 108974,Gobra Chhara Nayarhat; Kishamat Dasgram,1,B: Single SOI Geometry to Multiple GPs
308784,Chotta Salbari,Cooch Behar,Sitalkuchi,2,109019; 109020,Bhawerthana; Chhotosalbari,1,B: Single SOI Geometry to Multiple GPs
308790,Khengchi,Cooch Behar,Sitalkuchi,2,109019; 109022,Bhawerthana; Gosairhat,1,B: Single SOI Geometry to Multiple GPs
308802,Sitalkuchi,Cooch Behar,Sitalkuchi,3,109021; 109022; 109025,Golenowhati; Gosairhat; Sitalkuchi,1,B: Single SOI Geometry to Multiple GPs
308830,Chitalghata,Uttar Dinajpur,Chopra,2,109252; 109255,Haptiagachh; Sonapur,1,B: Single SOI Geometry to Multiple GPs
308846,Bhagalpur Khas,Uttar Dinajpur,Chopra,2,109254; 109255,Majhiali; Sonapur,1,B: Single SOI Geometry to Multiple GPs
308861,Paschim Chutiakhor,Uttar Dinajpur,Chopra,2,109248; 109249,Chopra; Chutiakhore,1,B: Single SOI Geometry to Multiple GPs
308867,Paschim Ariangaon,Uttar Dinajpur,Chopra,2,109254; 109255,Majhiali; Sonapur,1,B: Single SOI Geometry to Multiple GPs
308950,Phulhara,Uttar Dinajpur,Islampur,2,109297; 109298,Ramganj-I; Ramganj-Ii,1,B: Single SOI Geometry to Multiple GPs
308972,Dohaso,Uttar Dinajpur,Islampur,2,109289; 109298,Gobindapur; Ramganj-Ii,1,B: Single SOI Geometry to Multiple GPs
308980,Bhagmahima,Uttar Dinajpur,Islampur,2,109286; 109292,Agdimti-Khanti; Kamalgaon-Sujali,1,B: Single SOI Geometry to Multiple GPs
308997,Iluabari,Uttar Dinajpur,Islampur,2,109291; 109293,Islampur; Matikunda-I,1,B: Single SOI Geometry to Multiple GPs
308998,Bolhanja,Uttar Dinajpur,Islampur,2,109291; 109293,Islampur; Matikunda-I,1,B: Single SOI Geometry to Multiple GPs
309061,Teliapokhar,Uttar Dinajpur,Goalpokher - I,2,109277; 109278,Panjipara; Pokharia,1,B: Single SOI Geometry to Multiple GPs
309103,Bara Singhanath,Uttar Dinajpur,Goalpokher - I,2,109267; 109274,Dharampur-I; Khagore,1,B: Single SOI Geometry to Multiple GPs
309108,Athiala,Uttar Dinajpur,Goalpokher - I,2,109267; 109272,Dharampur-I; Goti,1,B: Single SOI Geometry to Multiple GPs
309144,Pachra,Uttar Dinajpur,Goalpokher - I,2,109272; 109279,Goti; Sahapur-I,1,B: Single SOI Geometry to Multiple GPs
309151,Unatiagachh,Uttar Dinajpur,Goalpokher - I,2,109272; 109279,Goti; Sahapur-I,1,B: Single SOI Geometry to Multiple GPs
309189,Koimari,Uttar Dinajpur,Goalpokher - I,2,109270; 109279,Goagaon-Ii; Sahapur-I,1,B: Single SOI Geometry to Multiple GPs
311997,Daula,Malda,Harischandrapur - I,2,109914; 109917,Barui; Kusidha,1,B: Single SOI Geometry to Multiple GPs
312079,Mali Pakar,Malda,Harischandrapur - II,2,109921; 109926,Daulatpur; Mashaldaha,1,B: Single SOI Geometry to Multiple GPs
312080,Daulatpur,Malda,Harischandrapur - II,2,109921; 109926,Daulatpur; Mashaldaha,1,B: Single SOI Geometry to Multiple GPs
312126,Daulat Nagar,Malda,Harischandrapur - II,2,109922; 109929,Doulatnagar; Valuka,1,B: Single SOI Geometry to Multiple GPs
312276,Kashimpur,Malda,Chanchal - II,2,109872; 109875,Dhangara-Bishanpur; Kshempur,1,B: Single SOI Geometry to Multiple GPs
312349,Bajitpur,Malda,Ratua - I,2,109989; 109991,Debipur; Mahanandatola,1,B: Single SOI Geometry to Multiple GPs
312382,Bahirkap,Malda,Ratua - I,2,109985; 109989,Bhado; Debipur,1,B: Single SOI Geometry to Multiple GPs
312384,Bhado,Malda,Ratua - I,3,109985; 109992; 109993,Bhado; Ratua; Samsi,1,B: Single SOI Geometry to Multiple GPs
312386,Arazi Balarampur,Malda,Ratua - I,2,109984; 109992,Baharal; Ratua,1,B: Single SOI Geometry to Multiple GPs
312459,Purbba Balarampur,Malda,Ratua - II,2,109995; 109999,Maharajpur; Sambalpur,1,B: Single SOI Geometry to Multiple GPs
312481,Gobarjana,Malda,Ratua - II,2,109994; 109998,Araidanga; Pukhuria,1,B: Single SOI Geometry to Multiple GPs
312482,Pukhuria,Malda,Ratua - II,2,109997; 109998,Peerganj; Pukhuria,1,B: Single SOI Geometry to Multiple GPs
312483,Nasipur,Malda,Ratua - II,2,109995; 109998,Maharajpur; Pukhuria,1,B: Single SOI Geometry to Multiple GPs
312513,Bahirgachhi,Malda,Gazole,2,109890; 109891,Bairgachhi-I; Bairgachhi-Ii,1,B: Single SOI Geometry to Multiple GPs
312830,Saranda,Malda,Bamangola,2,109856; 109858,Bamongola; Gobindapur-Maheshpur,1,B: Single SOI Geometry to Multiple GPs
313002,Palashdanga,Malda,Habibpur,2,109904; 109905,Aktail; Baidyapur,1,B: Single SOI Geometry to Multiple GPs
313102,Pathar Oltara,Malda,Habibpur,2,109908; 109911,Habibpur; Mangalpur,1,B: Single SOI Geometry to Multiple GPs
313336,Bhabanipur,Malda,English Bazar,2,109885; 109887,Milki; Sovanagar,1,B: Single SOI Geometry to Multiple GPs
313337,Khaskol Chandipur,Malda,English Bazar,2,109885; 109887,Milki; Sovanagar,1,B: Single SOI Geometry to Multiple GPs
313353,Basudebpur,Malda,English Bazar,2,109878; 109885,Binodpur; Milki,1,B: Single SOI Geometry to Multiple GPs
313355,Niamatpur,Malda,English Bazar,3,109877; 109878; 109879,Amriti; Binodpur; Fulbaria,1,B: Single SOI Geometry to Multiple GPs
313432,Byaspur Arazi Inlis,Malda,English Bazar,2,109880; 109884,Jadupur-I; Mahadipur,1,B: Single SOI Geometry to Multiple GPs
313470,Kesarpur,Malda,Manikchak,2,109972; 109977,Heeranandapur; Uttar Chandipur,1,B: Single SOI Geometry to Multiple GPs
313472,Chandipurmal,Malda,Manikchak,2,109968; 109977,Dakshin Chandipur; Uttar Chandipur,1,B: Single SOI Geometry to Multiple GPs
313473,Paschim Chandipur,Malda,Manikchak,2,109968; 109972,Dakshin Chandipur; Heeranandapur,1,B: Single SOI Geometry to Multiple GPs
313485,Chandipur Tafir,Malda,Manikchak,2,109968; 109972,Dakshin Chandipur; Heeranandapur,1,B: Single SOI Geometry to Multiple GPs
313496,Talim Nagar,Malda,Manikchak,2,109974; 109977,Mathurapur; Uttar Chandipur,1,B: Single SOI Geometry to Multiple GPs
313498,Mahabbatpur,Malda,Manikchak,2,109975; 109977,Nazeerpur; Uttar Chandipur,1,B: Single SOI Geometry to Multiple GPs
313503,Nazirpur,Malda,Manikchak,2,109975; 109977,Nazeerpur; Uttar Chandipur,1,B: Single SOI Geometry to Multiple GPs
313517,Lalbathani,Malda,Manikchak,2,109975; 109976,Nazeerpur; Nurpur,1,B: Single SOI Geometry to Multiple GPs
313530,Nawada,Malda,Manikchak,2,109969; 109973,Dharampur; Manikchak,1,B: Single SOI Geometry to Multiple GPs
313531,Enayetpur,Malda,Manikchak,2,109969; 109970,Dharampur; Enayetpur,1,B: Single SOI Geometry to Multiple GPs
313548,Khanpur,Malda,Manikchak,2,109969; 109971,Dharampur; Gopalpur,1,B: Single SOI Geometry to Multiple GPs
313558,Sultanganj (P),Malda,Kaliachak - I,3,109956; 109957; 109937,Beernagar-I; Beernagar-Ii; Kaliachak-I,1,B: Single SOI Geometry to Multiple GPs
313564,Bahadurpur,Malda,Kaliachak - I,2,109941; 109942,Silampur-I; Silampur-Ii,1,B: Single SOI Geometry to Multiple GPs
313565,Krishnapur,Malda,Kaliachak - I,2,109941; 109942,Silampur-I; Silampur-Ii,1,B: Single SOI Geometry to Multiple GPs
313622,Alipur (Ct),Malda,Kaliachak - I,3,109931; 109932; 109938,Alipur-I; Alipur-Ii; Kaliachak-Ii,1,B: Single SOI Geometry to Multiple GPs
313623,Karari Chandpur (Ct),Malda,Kaliachak - I,3,109931; 109932; 109938,Alipur-I; Alipur-Ii; Kaliachak-Ii,1,B: Single SOI Geometry to Multiple GPs
313628,Panchanandapur,Malda,Kaliachak - II,2,109951; 109952,Uttar Pachanandapur-Ii; Uttar Panchanandapur-I,1,B: Single SOI Geometry to Multiple GPs
313649,Bishnuprosad,Malda,Kaliachak - II,2,109945; 109950,Gangaprasad; Uttar Lakshmipur,1,B: Single SOI Geometry to Multiple GPs
313650,Dharampur,Malda,Kaliachak - II,2,109945; 109950,Gangaprasad; Uttar Lakshmipur,1,B: Single SOI Geometry to Multiple GPs
313665,Jot Doman,Malda,Kaliachak - II,2,109945; 109949,Gangaprasad; Rathbari,1,B: Single SOI Geometry to Multiple GPs
313675,Tap Protappur,Malda,Kaliachak - II,2,109945; 109947,Gangaprasad; Mothabari,1,B: Single SOI Geometry to Multiple GPs
313678,Mathabari,Malda,Kaliachak - II,2,109947; 109950,Mothabari; Uttar Lakshmipur,1,B: Single SOI Geometry to Multiple GPs
313679,Purbba Hosenabad,Malda,Kaliachak - II,2,109947; 109950,Mothabari; Uttar Lakshmipur,1,B: Single SOI Geometry to Multiple GPs
313683,Dakshin Debipur,Malda,Kaliachak - II,2,109947; 109950,Mothabari; Uttar Lakshmipur,1,B: Single SOI Geometry to Multiple GPs
313692,Chari Anantapur,Malda,Kaliachak - III,2,109959; 109960,Charianantapur; Golapganj,1,B: Single SOI Geometry to Multiple GPs
313716,Baishnabnagar,Malda,Kaliachak - III,2,109956; 109957,Beernagar-I; Beernagar-Ii,1,B: Single SOI Geometry to Multiple GPs
313718,Palgachhi,Malda,Kaliachak - III,2,109956; 109963,Beernagar-I; Lakshmipur,1,B: Single SOI Geometry to Multiple GPs
313740,Kalinagar,Malda,Kaliachak - III,2,109960; 109966,Golapganj; Sahabanchak,1,B: Single SOI Geometry to Multiple GPs
313743,Bedrabad,Malda,Kaliachak - III,2,109955; 109966,Bedrabad; Sahabanchak,1,B: Single SOI Geometry to Multiple GPs
313809,Jafar Ganj,Murshidabad,Farakka,2,110611; 110612,Bahadurpur; Beniagram,1,B: Single SOI Geometry to Multiple GPs
313836,Paranpara (Ct),Murshidabad,Farakka,2,110610; 110617,Arjunpur; Maheshpur,1,B: Single SOI Geometry to Multiple GPs
313842,Ghoramara,Murshidabad,Samserganj,2,110744; 110751,Bogdadnagar; Tinpukuria,1,B: Single SOI Geometry to Multiple GPs
313848,Dogachhi,Murshidabad,Samserganj,2,110743; 110746,Bhasaipaikar; Dogachhi Napara,1,B: Single SOI Geometry to Multiple GPs
313871,Anup Nagar (Ct),Murshidabad,Samserganj,2,110748; 110751,Kanchantala; Tinpukuria,1,B: Single SOI Geometry to Multiple GPs
313872,Jafrabad (Ct),Murshidabad,Samserganj,2,110748; 110751,Kanchantala; Tinpukuria,1,B: Single SOI Geometry to Multiple GPs
313898,Hilora,Murshidabad,Suti - I,2,110754; 110755,Bansabati; Harua,1,B: Single SOI Geometry to Multiple GPs
313918,Fatullapur,Murshidabad,Suti - I,2,110756; 110757,Nurpur; Sadikpur,1,B: Single SOI Geometry to Multiple GPs
313934,Ajagarpara,Murshidabad,Suti - I,2,110752; 110754,Ahiran; Bansabati,1,B: Single SOI Geometry to Multiple GPs
313981,Aurangabad (Ct),Murshidabad,Suti - II,2,110758; 110759,Aurangabad-I; Aurangabad-Ii,1,B: Single SOI Geometry to Multiple GPs
313984,Dafahat(Ct),Murshidabad,Suti - II,2,110761; 110762,Jagtai-I; Jagtai-Ii,1,B: Single SOI Geometry to Multiple GPs
313985,Paschim Punropara (Ct),Murshidabad,Suti - II,2,110760; 110764,Bajitpur; Laxmipur,1,B: Single SOI Geometry to Multiple GPs
314040,Chakbahala,Murshidabad,Raghunathganj - I,2,110705; 110706,Mirjapur; Raninagar,1,B: Single SOI Geometry to Multiple GPs
314055,Dafarpur (Ct),Murshidabad,Raghunathganj - I,2,110701; 110706,Dafarpur; Raninagar,1,B: Single SOI Geometry to Multiple GPs
314141,Donalia (Ct),Murshidabad,Raghunathganj - II,2,110709; 110713,Jotkamal; Sammatinagar,1,B: Single SOI Geometry to Multiple GPs
314147,Bayra,Murshidabad,Lalgola,2,110663; 110668,Bilborakopra; Maiya,1,B: Single SOI Geometry to Multiple GPs
314151,Sahabazpur,Murshidabad,Lalgola,2,110663; 110667,Bilborakopra; Lalgola,1,B: Single SOI Geometry to Multiple GPs
314161,Deoan Sarai,Murshidabad,Lalgola,2,110664; 110666,Dewansarai; Kalmegha,1,B: Single SOI Geometry to Multiple GPs
314168,Amarkunda,Murshidabad,Lalgola,2,110664; 110668,Dewansarai; Maiya,1,B: Single SOI Geometry to Multiple GPs
314220,Karttikpur,Murshidabad,Lalgola,2,110666; 110672,Kalmegha; Ramchandrapur,1,B: Single SOI Geometry to Multiple GPs
314221,Kaimegha,Murshidabad,Lalgola,2,110666; 110672,Kalmegha; Ramchandrapur,1,B: Single SOI Geometry to Multiple GPs
314224,Lalgola,Murshidabad,Lalgola,3,110662; 110663; 110667,Bahadurpur; Bilborakopra; Lalgola,1,B: Single SOI Geometry to Multiple GPs
314230,Krishnapur,Murshidabad,Lalgola,4,110661; 110662; 110666; 110669,Airmari Krishnapur; Bahadurpur; Kalmegha; Manikchak,1,B: Single SOI Geometry to Multiple GPs
314233,Krishnapur Dinurpara,Murshidabad,Lalgola,2,110661; 110669,Airmari Krishnapur; Manikchak,1,B: Single SOI Geometry to Multiple GPs
314235,Bajupur Madhupur,Murshidabad,Lalgola,2,110665; 110672,Jasaitala; Ramchandrapur,1,B: Single SOI Geometry to Multiple GPs
314404,Chargachhi,Murshidabad,Sagardighi,2,110734; 110742,Barala; Sagardighi,1,B: Single SOI Geometry to Multiple GPs
314436,Dakshin Hanumanta Nagar,Murshidabad,Bhagawangola - I,2,110563; 110564,Hanumantanagar; Kantanagar,1,B: Single SOI Geometry to Multiple GPs
314437,Kantanagar,Murshidabad,Bhagawangola - I,2,110562; 110564,Habaspur; Kantanagar,1,B: Single SOI Geometry to Multiple GPs
314440,Mahishasthali,Murshidabad,Bhagawangola - I,2,110561; 110567,Bhagawangola; Mahisasthali,1,B: Single SOI Geometry to Multiple GPs
314441,Belia Syampur,Murshidabad,Bhagawangola - I,2,110561; 110562,Bhagawangola; Habaspur,1,B: Single SOI Geometry to Multiple GPs
314456,Naodapara,Murshidabad,Bhagawangola - I,2,110561; 110565,Bhagawangola; Kuthirampur,1,B: Single SOI Geometry to Multiple GPs
314468,Bhundar Kismat,Murshidabad,Bhagawangola - I,2,110566; 110567,Mahammadpur; Mahisasthali,1,B: Single SOI Geometry to Multiple GPs
314487,Habaspur,Murshidabad,Bhagawangola - I,2,110562; 110566,Habaspur; Mahammadpur,1,B: Single SOI Geometry to Multiple GPs
314502,Nasipur,Murshidabad,Bhagawangola - II,2,110558; 110559,Kharibona; Nashipur,1,B: Single SOI Geometry to Multiple GPs
314569,Malibari,Murshidabad,Raninagar - II,2,110727; 110728,Malibari-I; Malibari-Ii,1,B: Single SOI Geometry to Multiple GPs
314578,Ramnagar Doemkanun,Murshidabad,Raninagar - II,2,110723; 110724,Kalinagar-I; Kalinagar-Ii,1,B: Single SOI Geometry to Multiple GPs
314579,Ramnagar Chhoemkanun,Murshidabad,Raninagar - II,2,110723; 110724,Kalinagar-I; Kalinagar-Ii,1,B: Single SOI Geometry to Multiple GPs
314581,Godhanpara,Murshidabad,Raninagar - II,2,110730; 110731,Raninagar-I; Raninagar-Ii,1,B: Single SOI Geometry to Multiple GPs
314583,Babaltali,Murshidabad,Raninagar - II,2,110730; 110731,Raninagar-I; Raninagar-Ii,1,B: Single SOI Geometry to Multiple GPs
314589,Katlamari,Murshidabad,Raninagar - II,2,110725; 110726,Katlamari-I; Katlamari-Ii,1,B: Single SOI Geometry to Multiple GPs
314605,Debipur,Murshidabad,Jalangi,2,110630; 110634,Debipur; Katabari,1,B: Single SOI Geometry to Multiple GPs
314611,Sagarpara,Murshidabad,Jalangi,2,110637; 110638,Sagarpara; Sahebnagar,1,B: Single SOI Geometry to Multiple GPs
314626,Bara Bil Raghunathpur,Murshidabad,Jalangi,3,110632; 110633; 110636,Ghoshpara; Jalangi; Sadikhanderah,1,B: Single SOI Geometry to Multiple GPs
314627,Muradpur Arazi,Murshidabad,Jalangi,2,110632; 110633,Ghoshpara; Jalangi,1,B: Single SOI Geometry to Multiple GPs
314628,Nandalalpur Arazi,Murshidabad,Jalangi,2,110632; 110633,Ghoshpara; Jalangi,1,B: Single SOI Geometry to Multiple GPs
314631,Muradpur Jalangi,Murshidabad,Jalangi,3,110629; 110632; 110633,Choapara; Ghoshpara; Jalangi,1,B: Single SOI Geometry to Multiple GPs
314634,Paschim Sahebrampur,Murshidabad,Jalangi,2,110629; 110636,Choapara; Sadikhanderah,1,B: Single SOI Geometry to Multiple GPs
314641,Faridpur,Murshidabad,Jalangi,2,110631; 110635,Faridpur; Khayramari,1,B: Single SOI Geometry to Multiple GPs
314710,Garibpur,Murshidabad,Domkal,2,110602; 110606,Garibpur; Juranpur,1,B: Single SOI Geometry to Multiple GPs
314734,Garaimari,Murshidabad,Domkal,2,110601; 110603,Garaimari; Ghoramara,1,B: Single SOI Geometry to Multiple GPs
314800,Goas Kalikapur,Murshidabad,Raninagar - I,2,110717; 110722,Herampur; Tenkaraipur Balumati,1,B: Single SOI Geometry to Multiple GPs
315179,Bil Patan,Murshidabad,Khargram,3,110649; 110656; 110657,Balia; Mahisar; Margram,1,B: Single SOI Geometry to Multiple GPs
315323,Andar Manik,Murshidabad,Berhampore,2,110549; 110550,Radharghat-I; Radharghat-Ii,1,B: Single SOI Geometry to Multiple GPs
315382,Bairgachhi,Murshidabad,Berhampore,2,110539; 110543,Bhakuri-Ii; Haridasmati,1,B: Single SOI Geometry to Multiple GPs
315436,Kaladanga,Murshidabad,Berhampore,2,110540; 110545,Chhaighari; Madanpur,1,B: Single SOI Geometry to Multiple GPs
315447,Gopjan (Ct),Murshidabad,Berhampore,2,110549; 110550,Radharghat-I; Radharghat-Ii,1,B: Single SOI Geometry to Multiple GPs
315450,Chaltia (Ct),Murshidabad,Berhampore,2,110538; 110539,Bhakuri-I; Bhakuri-Ii,1,B: Single SOI Geometry to Multiple GPs
315524,Bali,Murshidabad,Nawda,2,110691; 110692,Bali-I; Bali-Ii,1,B: Single SOI Geometry to Multiple GPs
315560,Bhabta,Murshidabad,Beldanga - I,2,110515; 110522,Bhabta-I; Mahula-I,1,B: Single SOI Geometry to Multiple GPs
315565,Gopinathpur,Murshidabad,Beldanga - I,2,110522; 110523,Mahula-I; Mahula-Ii,1,B: Single SOI Geometry to Multiple GPs
315597,Kumarpur,Murshidabad,Beldanga - I,2,110525; 110526,Mirjapur-Ii; Sujapur-Kumarpur,1,B: Single SOI Geometry to Multiple GPs
315605,Bishannagar,Murshidabad,Beldanga - I,2,110514; 110521,Begunbari; Madda,1,B: Single SOI Geometry to Multiple GPs
315615,Mirzapur,Murshidabad,Beldanga - I,2,110524; 110525,Mirjapur-I; Mirjapur-Ii,1,B: Single SOI Geometry to Multiple GPs
315781,Ruha Palisa,Murshidabad,Bharatpur - I,2,110573; 110574,Gundiria; Jajan,1,B: Single SOI Geometry to Multiple GPs
316219,Barla,Birbhum,Nalhati - I,2,108850; 108855,Barla; Kalitha,1,B: Single SOI Geometry to Multiple GPs
316410,Karkaria (Part),Birbhum,Rampurhat - I,2,108885; 108897,Kharun; Sahapur,1,B: Single SOI Geometry to Multiple GPs
